signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015892120	Acetyltransf_1	3.3e-13	48.9	222
XP_015892091	Terpene_synth_C	5.5e-20	71.0	?
XP_015892068	Terpene_synth	4.6e-16	58.3	?
XP_015892103	Chalcone_2	2.4e-13	49.5	89
XP_015892216	p450	1.6e-95	319.8	50
XP_015892551	p450	2.9e-85	285.9	50
XP_015892336	p450	2.2e-85	286.3	50
XP_015892304	p450	3.7e-90	302.1	50
XP_015892396	UDPGT_2	4.4e-38	130.7	248
XP_015892599	BURP	1.5e-65	220.0	101
XP_015892603	BURP	4.4e-66	221.7	101
XP_015892679	BURP	7.8e-74	247.0	101
XP_015892680	BURP	7.8e-74	247.0	101
XP_015892675	BURP	2.2e-74	248.9	101
XP_015892674	BURP	2.7e-74	248.6	101
XP_015892679	BURP	7.8e-74	247.0	101
XP_015892680	BURP	7.8e-74	247.0	101
XP_015892675	BURP	2.2e-74	248.9	101
XP_015892674	BURP	2.7e-74	248.6	101
XP_015893427	Dirigent	1.9e-46	156.8	297
XP_015893441	Dirigent	1.1e-48	164.1	297
XP_015893467	Peptidase_S10	1.1e-70	238.4	57
XP_015893490	Peptidase_S10	1.3e-66	224.9	57
XP_015893493	Peptidase_S10	1.5e-36	125.9	57
