signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015887186	Glycos_transf_1	4.7e-28	97.1	?
XP_015887176	Bet_v_1	7.6e-08	31.6	18
XP_015887200	Bet_v_1	4.8e-27	93.9	18
XP_015887211	Bet_v_1	1.2e-25	89.3	18
XP_015887209	Bet_v_1	1.3e-25	89.2	18
XP_015887208	Bet_v_1	1.4e-27	95.7	18
XP_015887177	Bet_v_1	1.2e-11	43.9	18
XP_015887210	Bet_v_1	5.7e-28	96.9	18
XP_015887183	Bet_v_1	1.8e-27	95.3	18
XP_015887185	Bet_v_1	1.1e-26	92.7	18
XP_015887218	Bet_v_1	2.6e-27	94.8	18
XP_015887219	Bet_v_1	2.6e-27	94.8	18
XP_015887190	Bet_v_1	3e-26	91.3	18
XP_015887207	Bet_v_1	6.7e-27	93.4	18
XP_015887205	Bet_v_1	1.7e-25	88.8	18
XP_015887182	Bet_v_1	1.5e-24	85.8	18
XP_015887202	Bet_v_1	1e-27	96.1	18
XP_015887206	Bet_v_1	2.2e-27	95.0	18
XP_015887204	Bet_v_1	4.9e-27	93.9	18
XP_015887203	Bet_v_1	7.9e-27	93.2	18
XP_015887201	Bet_v_1	6.4e-28	96.7	18
XP_015887187	Bet_v_1	1.2e-26	92.6	18
XP_015887230	Methyltransf_11	1.8e-16	59.7	141
XP_015888219	Lipoxygenase	4.5e-199	662.4	117
XP_015888202	Cu_amine_oxid	1e-06	27.1	334
XP_015888203	Cu_amine_oxid	1.6e-135	451.4	334
XP_015888204	Cu_amine_oxid	3.3e-91	305.4	334
XP_015888205	Cu_amine_oxid	2.5e-137	457.2	334
XP_015888217	Cu_amine_oxid	1.2e-139	464.9	334
XP_015888215	Cu_amine_oxid	1.4e-130	435.0	334
