signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015896795	p450	2.8e-67	226.6	50
XP_015896802	Terpene_synth_C	2e-109	364.3	?
XP_015896802	Terpene_synth	3.2e-63	212.0	?
XP_015896801	Terpene_synth_C	2e-109	364.3	?
XP_015896801	Terpene_synth	3.2e-63	212.0	?
XP_015896817	p450	6.1e-71	238.7	50
XP_015896818	p450	3.5e-68	229.6	50
XP_015896819	p450	8.1e-69	231.7	50
XP_015896822	p450	9.4e-71	238.1	50
XP_015897353	UDPGT_2	7e-50	169.5	248
XP_015897354	UDPGT_2	2.4e-50	171.1	248
XP_015897348	Epimerase	8.5e-06	24.6	96
XP_015897376	Transferase	4.1e-72	242.4	7
XP_015897372	Transferase	1.8e-43	148.0	7
XP_015897373	Transferase	2.4e-69	233.3	7
XP_015897374	Transferase	7.2e-73	244.9	7
XP_015897678	UDPGT_2	3e-110	368.5	248
XP_015897683	Glycos_transf_1	2.2e-20	72.1	?
XP_015897681	Transferase	3.2e-74	249.3	7
XP_015897695	Transferase	5.5e-69	232.0	7
XP_015897696	Transferase	9.6e-74	247.7	7
XP_015897692	Transferase	1.6e-71	240.4	7
XP_015897713	Transferase	2.2e-69	233.4	7
XP_015897714	Transferase	2.2e-69	233.4	7
