gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
XP_015876162	1809790	1810225	+		LOC107412852	UDP-glycosyltransferase 89B2-like
XP_015876163	1812136	1839736	-		LOC107412853	cytochrome P450 84A1-like
XP_015876164	1844696	1845662	+		LOC107412854	BAHD acyltransferase At5g47980-like
XP_015876170	1851513	1853672	-		LOC107412861	cytochrome P450 84A1-like
XP_015876355	3912224	3913783	-		LOC107413021	uncharacterized protein LOC107413021
XP_015876398	3925471	3926842	-		LOC107413053	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like
XP_015876399	3931069	3932431	-		LOC107413054	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like
XP_015876400	3934291	3935047	-		LOC107413056	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like
XP_015876401	3935872	3937225	-		LOC107413057	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like
XP_015876403	3963225	3964491	-		LOC107413058	beta-amyrin 11-oxidase-like
XP_015876405	3982360	3983707	-		LOC107413060	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like
XP_015876406	3985508	3992029	-		LOC107413063	protein RBL
XP_015876404	<3992984	>4000574	+		LOC107413059	DExH-box ATP-dependent RNA helicase DExH3-like
XP_015876431	4001923	4004864	-		LOC107413083	cytochrome P450 714B3-like
XP_015876432	4016153	4017914	-		LOC107413084	UDP-glycosyltransferase 79B9-like isoform X1
XP_015876433	4016153	4017914	-		LOC10741_950	LOC10741_950
XP_015876434	4016153	4017914	-		LOC10741_951	LOC10741_951
XP_015876410	4026407	4028048	-		LOC107413067	cytochrome P450 714C2-like
XP_015876409	4047964	4052345	-		LOC107413066	glucomannan 4-beta-mannosyltransferase 9-like isoform X2
XP_015876408	4047964	4052345	-		LOC10741_952	LOC10741_952
XP_015876407	4076006	4080327	-		LOC107413064	LOW QUALITY PROTEIN: ATP-dependent RNA helicase DBP3
XP_015876420	4084400	4086899	+		LOC107413074	GABA transporter 1-like
XP_015876446	4089740	4091057	+		LOC107413094	vinorine synthase-like
XP_015876447	4089740	4091057	+		LOC10741_953	LOC10741_953
XP_015876448	4089740	4091057	+		LOC10741_954	LOC10741_954
XP_015876436	4096158	4097481	+		LOC107413085	vinorine synthase-like
XP_015876437	4100484	4101801	+		LOC107413086	BAHD acyltransferase At5g47980-like
XP_015876438	4108642	4110442	+		LOC107413087	uncharacterized protein LOC107413087
XP_015876428	4112697	4126797	+		LOC107413081	phosphatidylinositol-3-phosphatase myotubularin-1 isoform X1
XP_015876429	4112697	4126797	+		LOC10741_955	LOC10741_955
XP_015876506	4405332	4408106	+		LOC107413145	uncharacterized protein LOC107413145
XP_015876504	4410081	4411939	-		LOC107413144	calmodulin-like protein 8
XP_015876477	4415458	4417212	-		LOC107413125	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase, chloroplastic-like
XP_015876474	4419306	4422291	-		LOC107413122	uncharacterized protein LOC107413122
XP_015876532	4427088	4429095	+		LOC107413167	guanine nucleotide-binding protein subunit gamma 2
XP_015876531	4429523	4432324	-		LOC107413166	ADP-ribosylation factor-like protein 5
