signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015884580	p450	1.7e-81	273.5	50
XP_015884614	p450	3.4e-80	269.2	50
XP_015884631	p450	2.7e-76	256.4	50
XP_015884623	UDPGT_2	4.2e-71	239.5	248
XP_015884581	UDPGT_2	5e-32	110.7	248
XP_015885099	Glycos_transf_2	7.3e-14	51.1	?
XP_015885090	SE	9.7e-122	404.5	12
XP_015885091	Aminotran_1_2	3.4e-102	341.5	48
XP_015885210	BURP	5.3e-87	290.1	101
XP_015886383	Terpene_synth	8.3e-17	60.7	?
XP_015886397	Peptidase_S10	5.3e-130	433.8	57
XP_015886398	FA_desaturase_2	1.8e-153	509.3	56
XP_015886384	FA_desaturase_2	2.9e-83	278.6	56
XP_015886427	UDPGT_2	5.5e-61	206.1	248
XP_015886419	p450	2.7e-57	193.7	50
XP_015886426	p450	8.5e-56	188.8	50
XP_015886414	p450	2.5e-35	121.3	50
XP_015886432	p450	5.9e-63	212.4	50
