gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
XP_015892074	5081992	5083567	+		LOC107426407	COMPASS-like H3K4 histone methylase component WDR5B
XP_015892112	5084544	5085539	+		LOC107426436	uncharacterized protein LOC107426436
XP_015892111	5085984	5088433	-		LOC107426435	pre-mRNA-splicing factor 18
XP_015892120	5089050	5093437	+		LOC107426443	N-alpha-acetyltransferase 20
XP_015892091	5096731	5098939	-		LOC107426416	ent-copalyl diphosphate synthase, chloroplastic-like
XP_015892068	5104216	5106671	-		LOC107426403	ent-copalyl diphosphate synthase, chloroplastic-like
XP_015892103	5121163	5123354	+		LOC107426429	fatty-acid-binding protein 1
XP_015892102	5124053	5128816	-		LOC107426426	protein TIME FOR COFFEE isoform X2
XP_015892101	5124053	5128816	-		LOC10742_2054	LOC10742_2054
XP_015892239	6771012	6773595	-		LOC107426548	uncharacterized protein LOC107426548
XP_015892366	6775610	6778529	-		LOC107426644	putative ER lumen protein-retaining receptor C28H8.4
XP_015892216	6779797	6781502	-		LOC107426534	cytochrome P450 CYP82D47-like
XP_015892551	6791211	6793536	+		LOC107426783	cytochrome P450 82G1-like
XP_015892336	6798350	6800151	+		LOC107426622	cytochrome P450 82C4-like
XP_015892303	6804340	6806734	+		LOC107426595	cytochrome P450 82C4-like isoform X1
XP_015892304	6804340	6806734	+		LOC10742_2115	LOC10742_2115
XP_015892305	6804340	6806734	+		LOC10742_2116	LOC10742_2116
XP_015892559	6810094	6814136	+		LOC107426791	cyclin-C1-2-like
XP_015892562	6814848	6815590	-		LOC107426792	SKI/DACH domain-containing protein 1-like isoform X2
XP_015892561	6814917	6815590	-		LOC10742_2117	LOC10742_2117
XP_015892469	6824370	6827184	+		LOC107426726	GTP cyclohydrolase 1
XP_015892472	6828691	6831846	-		LOC107426727	uncharacterized protein LOC107426727 isoform X2
XP_015892470	6828691	6831846	-		LOC10742_2118	LOC10742_2118
XP_015892471	6828691	6831846	-		LOC10742_2119	LOC10742_2119
XP_015892396	6841604	6842673	+		LOC107426669	LOW QUALITY PROTEIN: anthocyanidin 3-O-glucosyltransferase-like
XP_015892385	6844622	6850665	-		LOC107426659	serine/threonine-protein kinase MHK
XP_015892264	8261986	8267634	+		LOC107426563	protein DETOXIFICATION 46, chloroplastic-like
XP_015892280	8268931	8270272	-		LOC107426574	uncharacterized protein LOC107426574
XP_015892341	8276515	8279551	-		LOC10742_2169	LOC10742_2169
XP_015892340	8276515	8280604	-		LOC107426625	xylulose kinase isoform X1
XP_015892553	8305942	8316096	+		LOC107426786	kinesin-related protein 11
XP_015892377	8325134	8326504	-		LOC107426654	B-box zinc finger protein 20 isoform X1
XP_015892379	8325315	8326504	-		LOC10742_2170	LOC10742_2170
XP_015892399	8340281	8344552	+		LOC107426673	uncharacterized protein LOC107426673
XP_015892398	8346691	8351680	+		LOC107426672	coatomer subunit alpha-1
XP_015892397	8361236	8366184	+		LOC107426670	coatomer subunit alpha-1-like
XP_015892212	8372559	8373354	+		LOC107426530	uncharacterized protein LOC107426530
XP_015892274	8375303	8375891	+		LOC107426569	major centromere autoantigen B-like
XP_015892374	8386003	8387120	+		LOC107426652	protein SHI RELATED SEQUENCE 1
XP_015892426	8394601	8399701	+		LOC107426697	LOW QUALITY PROTEIN: DNA replication licensing factor MCM4
XP_015892427	8402896	8411738	+		LOC107426698	V-type proton ATPase subunit a3
XP_015892430	8412857	8414859	-		LOC107426701	cysteine proteinase RD19a
XP_015892428	8421114	8424441	+		LOC107426699	purple acid phosphatase 2-like
XP_015892429	8427794	8431283	+		LOC107426700	purple acid phosphatase 2-like
XP_015892493	8448541	8454106	+		LOC107426743	WD repeat-containing protein 13
XP_015892494	8458539	8462922	-		LOC107426744	chromatin remodeling protein SHL
XP_015892444	8464184	8469760	-		LOC107426711	beta-galactosidase 5-like
XP_015892442	8472648	8479408	-		LOC107426710	RNA-binding protein 28
XP_015892487	8491617	8496070	+		LOC107426739	BEL1-like homeodomain protein 6
XP_015892593	8500771	8507094	-		LOC107426814	protein CHROMATIN REMODELING 35-like isoform X2
XP_015892589	8500771	8507094	-		LOC10742_2171	LOC10742_2171
XP_015892590	8500771	8507094	-		LOC10742_2172	LOC10742_2172
XP_015892591	8500771	8507094	-		LOC10742_2173	LOC10742_2173
XP_015892483	8509353	8515730	+		LOC107426735	SUMO-activating enzyme subunit 2
XP_015892356	8519222	8521841	-		LOC107426637	probable receptor-like protein kinase At4g39110
XP_015892325	8524516	8525278	+		LOC107426614	26S protease regulatory subunit 10B homolog A-like
XP_015892322	8530489	8534250	-		LOC107426610	bifunctional phosphatase IMPL2, chloroplastic
XP_015892352	8541053	8541774	-		LOC10742_2174	LOC10742_2174
XP_015892351	8541053	8542129	-		LOC107426633	late embryogenesis abundant protein-like isoform X1
XP_015892489	8543845	8547451	-		LOC107426742	uncharacterized protein LOC107426742
XP_015892490	8543845	8547451	-		LOC10742_2175	LOC10742_2175
XP_015892491	8543845	8547451	-		LOC10742_2176	LOC10742_2176
XP_015892380	8554702	8556399	-		LOC107426655	uncharacterized protein LOC107426655
XP_015892587	8559568	8564125	-		LOC107426812	chaperone protein dnaJ 10-like
XP_015892526	8587767	8594261	+		LOC107426769	uncharacterized protein LOC107426769
XP_015892528	8587767	8594261	+		LOC10742_2177	LOC10742_2177
XP_015892213	<8606014	8609345	-		LOC107426532	phosphatidylinositol/phosphatidylcholine transfer protein SFH3
XP_015892600	8690363	8696657	-		LOC107426818	uncharacterized protein LOC107426818
XP_015892606	8758737	8760641	-		LOC107426823	uncharacterized protein LOC107426823 isoform X3
XP_015892604	8758737	8760641	-		LOC10742_2178	LOC10742_2178
XP_015892605	8758737	8760641	-		LOC10742_2179	LOC10742_2179
XP_015892608	8845712	8847152	-		LOC107426824	insoluble matrix shell protein 4-like
XP_015892599	8870914	8871856	+		LOC107426817	BURP domain protein USPL1-like
XP_015892601	8909333	8910352	-		LOC107426819	LOW QUALITY PROTEIN: dehydrodolichyl diphosphate syntase complex subunit NUS1-like
XP_015892602	8930829	8933735	-		LOC107426820	uncharacterized protein LOC107426820
XP_015892603	8936930	8937868	+		LOC107426822	BURP domain protein USPL1-like
XP_015892609	<8957543	8959343	+		LOC107426826	phosphatidylinositol 4-kinase alpha 2
XP_015892610	9000071	9001952	+		LOC107426827	putative polyol transporter 2
XP_015892624	9012535	9016100	+		LOC107426841	uncharacterized protein LOC107426841
XP_015892628	9017149	9017497	+		LOC107426846	60S acidic ribosomal protein P2B-like
XP_015892622	9057661	9060947	-		LOC107426839	dual-specificity RNA methyltransferase RlmN-like
XP_015892611	9066279	9069153	-		LOC107426828	probable beta-D-xylosidase 5
XP_015892626	9079285	9081710	+		LOC107426845	uncharacterized protein LOC107426845 isoform X1
XP_015892627	9079285	9081710	+		LOC10742_2180	LOC10742_2180
XP_015892612	9085280	9091555	-		LOC107426829	general transcription factor 3C polypeptide 5-like
XP_015892613	9116899	9133992	+		LOC107426830	vacuolar-sorting receptor 3-like
XP_015892614	9136219	9138101	-		LOC107426832	transcription factor bHLH84-like
XP_015892620	9222367	9228544	-		LOC107426837	LOW QUALITY PROTEIN: zinc finger protein-like 1 homolog
XP_015892623	9245151	9249430	+		LOC107426840	mitotic checkpoint protein BUB3.1
XP_015892621	9250633	9256351	+		LOC107426838	biotin synthase
XP_015892619	9257932	9261566	-		LOC107426836	ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic
XP_015892615	9269997	>9270780	+		LOC107426833	zinc finger protein ZAT10
XP_015892616	9277915	9281586	+		LOC107426834	LOW QUALITY PROTEIN: endo-1,4-beta-xylanase A-like
XP_015892618	9319216	9322374	+		LOC107426835	BTB/POZ domain-containing protein NPY2
XP_015892625	9324443	9326192	-		LOC107426844	probable N-acetyltransferase HLS1
XP_015892671	9376826	9378375	+		LOC107426888	uncharacterized protein LOC107426888
XP_015892630	9396756	9397802	+		LOC107426848	protein HUA2-LIKE 3-like
XP_015892679	9406442	9407770	-		LOC107426896	BURP domain protein USPL1-like
XP_015892680	9406442	9407770	-		LOC10742_2181	LOC10742_2181
XP_015892678	9414696	9415291	+		LOC107426895	organ-specific protein P4
XP_015892675	9416940	9418179	-		LOC107426892	BURP domain protein USPL1-like isoform X2
XP_015892674	9416940	9418179	-		LOC10742_2182	LOC10742_2182
XP_015892672	9423427	9424912	+		LOC107426890	uncharacterized protein LOC107426890
XP_015892682	9454964	9457357	+		LOC107426898	organ-specific protein S2-like
XP_015892684	9470812	9472171	+		LOC107426901	putative DNA helicase ino80
XP_015892667	9482069	9482975	+		LOC107426886	organ-specific protein P4-like
