gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
XP_015887175	10668426	10671183	-		LOC107422261	putative disease resistance RPP13-like protein 1
XP_015887193	10673382	10676120	-		LOC107422278	uncharacterized protein LOC107422278
XP_015887186	10679812	10685810	-		LOC107422272	probable sucrose-phosphate synthase 2
XP_015887176	10694927	10696126	+		LOC107422262	major allergen Pru ar 1-like
XP_015887200	10698159	10698740	+		LOC107422285	major allergen Pru av 1-like
XP_015887211	10701001	10701642	+		LOC107422297	major allergen Mal d 1-like
XP_015887209	10710161	10710741	+		LOC107422294	major allergen Pru av 1-like
XP_015887208	10712893	10713467	+		LOC107422293	major allergen Pru av 1-like
XP_015887177	10714822	10715313	+		LOC107422263	major allergen Mal d 1-like
XP_015887210	10717348	10717923	+		LOC107422296	major allergen Mal d 1-like
XP_015887183	10719930	10720590	+		LOC107422269	major allergen Pru av 1-like
XP_015887185	10722823	10723397	+		LOC107422270	major allergen Mal d 1-like
XP_015887179	10739740	10770032	+		LOC107422264	cysteine-rich receptor-like protein kinase 25
XP_015887218	10759000	10759645	+		LOC107422301	major allergen Pru av 1-like
XP_015887219	10785842	10786487	+		LOC107422302	major allergen Pru av 1-like
XP_015887180	10793776	10796757	+		LOC107422266	cysteine-rich receptor-like protein kinase 25
XP_015887181	10800988	10801591	+		LOC107422267	uncharacterized mitochondrial protein AtMg00810-like
XP_015887190	10806171	10806830	+		LOC107422275	major allergen Pru av 1-like
XP_015887207	10808933	10809507	+		LOC107422292	major allergen Pru av 1-like
XP_015887205	10812625	10813276	+		LOC107422290	major allergen Mal d 1-like
XP_015887182	10818860	10819454	+		LOC107422268	major allergen Pru av 1-like
XP_015887202	10821475	10822113	+		LOC107422287	major allergen Mal d 1-like
XP_015887206	10825046	10825753	+		LOC107422291	major allergen Pru av 1-like
XP_015887204	10827167	10827832	+		LOC107422289	major allergen Mal d 1-like
XP_015887203	10830468	10831067	+		LOC107422288	major allergen Pru av 1-like
XP_015887201	10832873	10833450	+		LOC107422286	major allergen Mal d 1-like
XP_015887187	10835301	10835879	+		LOC107422273	major allergen Pru av 1-like
XP_015887230	10836767	10845486	+		LOC107422309	methyltransferase-like protein 13
XP_015887188	10848480	10852270	+		LOC107422274	RPM1-interacting protein 4-like
XP_015888219	22335132	22338770	+		LOC107423207	linoleate 9S-lipoxygenase 5, chloroplastic
XP_015888211	22341243	22341888	+		LOC107423198	photosystem I reaction center subunit II, chloroplastic-like
XP_015888213	22343431	22345024	-		LOC107423199	uncharacterized protein LOC107423199 isoform X2
XP_015888212	22343431	22345024	-		LOC10742_1191	LOC10742_1191
XP_015888216	22348271	22351509	-		LOC107423202	thermospermine synthase ACAULIS5-like
XP_015888202	22362715	22364464	+		LOC107423186	primary amine oxidase-like
XP_015888203	22368948	22372864	+		LOC107423187	primary amine oxidase-like
XP_015888204	22386332	22392553	+		LOC107423189	primary amine oxidase-like
XP_015888205	22395072	22399437	+		LOC107423190	primary amine oxidase-like
XP_015888217	22411383	22415937	+		LOC107423205	primary amine oxidase-like
XP_015888215	22418725	22422771	-		LOC107423201	LOW QUALITY PROTEIN: primary amine oxidase
XP_015888206	22426401	22428151	+		LOC107423192	putative F-box protein At1g65770
XP_015888210	22429403	22431122	-		LOC107423197	heat shock 70 kDa protein 8
