signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015876162	UDPGT_2	5.8e-08	31.4	248
XP_015876163	p450	8.2e-98	327.3	50
XP_015876164	Transferase	8.2e-51	172.2	7
XP_015876170	p450	3.4e-101	338.4	50
XP_015876398	UDPGT_2	2.4e-62	210.6	248
XP_015876399	UDPGT_2	4.5e-65	219.6	248
XP_015876400	UDPGT_2	3.3e-05	22.3	248
XP_015876401	UDPGT_2	1e-60	205.2	248
XP_015876403	p450	1.5e-42	145.1	50
XP_015876405	UDPGT_2	2.9e-62	210.3	248
XP_015876431	p450	6.8e-93	311.1	50
XP_015876432	UDPGT_2	7.7e-45	152.9	248
XP_015876433	UDPGT_2	7.7e-45	152.9	248
XP_015876434	UDPGT_2	6.7e-41	140.0	248
XP_015876410	p450	1.1e-65	221.3	50
XP_015876409	Glycos_transf_2	3.7e-15	55.3	?
XP_015876448	Transferase	5.2e-84	281.6	7
XP_015876436	Transferase	2.7e-85	285.8	7
XP_015876437	Transferase	1e-87	293.8	7
XP_015876477	Methyltransf_11	2.2e-17	62.7	141
XP_015876475	Epimerase	7.6e-46	155.7	96
XP_015876514	Chal_sti_synt_C	5.2e-09	35.4	?
XP_015876463	COesterase	7.3e-07	27.6	?
XP_015876464	COesterase	3.1e-06	25.5	?
XP_015876547	p450	1.6e-93	313.2	50
XP_015876549	p450	8.1e-111	370.2	50
XP_015876561	Glycos_transf_2	3e-16	58.9	?
XP_015876846	adh_short	7.1e-15	54.2	?
XP_015876880	Glycos_transf_2	8.6e-18	63.9	?
XP_015876881	Glycos_transf_2	4.2e-23	81.2	?
XP_015876859	UDPGT_2	1.2e-72	244.5	248
XP_015876874	UDPGT_2	2.8e-70	236.8	248
XP_015876879	UDPGT_2	2.7e-72	243.4	248
XP_015876877	UDPGT_2	1.9e-73	247.2	248
XP_015876860	UDPGT_2	1.2e-19	69.9	248
XP_015876875	UDPGT_2	2.7e-75	253.3	248
XP_015876878	UDPGT_2	2.4e-75	253.5	248
XP_015876894	UDPGT_2	3.6e-71	239.7	248
XP_015876895	UDPGT_2	5.9e-68	229.1	248
XP_015877017	UDPGT_2	3.2e-22	78.4	248
XP_015877021	UDPGT_2	3.2e-75	253.1	248
XP_015877020	UDPGT_2	1.3e-70	237.9	248
XP_015877018	UDPGT_2	6.9e-69	232.2	248
XP_015877029	Dirigent	1.5e-22	79.3	297
XP_015877023	Dirigent	1.5e-31	108.5	297
XP_015877061	Chalcone	1.2e-93	311.3	8
XP_015877049	Chalcone	1.5e-98	327.4	8
XP_015877045	Chal_sti_synt_C	1.3e-06	27.7	?
XP_015877063	Chal_sti_synt_C	1.8e-08	33.7	?
XP_015877051	Chal_sti_synt_C	1.3e-07	30.9	?
XP_015877062	Chal_sti_synt_C	1.4e-10	40.5	?
XP_015877047	Chal_sti_synt_C	4.2e-06	26.0	?
XP_015878579	Epimerase	2.6e-08	32.8	96
XP_015878533	Bet_v_1	6.5e-13	48.0	18
XP_015878558	Acetyltransf_1	1.9e-15	56.1	222
