signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015897971	adh_short	1e-09	37.3	?
XP_015897971	adh_short_C2	6.8e-44	149.3	368
XP_015897972	adh_short_C2	3.1e-35	121.0	368
XP_015897946	Peptidase_S10	6.9e-123	410.3	57
XP_015897984	Peptidase_S10	2.2e-125	418.6	57
XP_015897953	Peptidase_S10	2.2e-119	398.8	57
XP_015897955	Peptidase_S10	5.7e-125	417.2	57
XP_015898551	UDPGT_2	2.3e-84	283.2	248
XP_015898552	UDPGT_2	1.1e-69	234.8	248
XP_015898592	UDPGT_2	1.6e-78	264.0	248
XP_015898529	UDPGT_2	9.3e-48	162.6	248
XP_015898593	UDPGT_2	4.6e-79	265.7	248
XP_015898563	UDPGT_2	2.7e-88	296.1	248
XP_015898530	UDPGT_2	1.1e-73	248.0	248
XP_015898531	UDPGT_2	1.6e-19	69.5	248
XP_015898558	UDPGT_2	3.9e-85	285.7	248
XP_015898533	UDPGT_2	2.7e-80	269.8	248
XP_015898579	Methyltransf_2	4.1e-51	172.5	9
XP_015898580	Methyltransf_2	9.7e-52	174.6	9
XP_015898578	p450	4e-84	282.2	50
XP_015898560	DIOX_N	1.2e-26	93.0	384
XP_015898560	2OG-FeII_Oxy	2.7e-30	104.0	136
