signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015873213	p450	1.8e-69	233.8	50
XP_015873215	p450	1e-19	69.8	50
XP_015873218	Lipoxygenase	2.2e-09	35.5	117
XP_015873268	NAD_binding_1	9.7e-30	102.6	?
XP_015873734	BURP	1.8e-81	272.0	101
XP_015873704	BURP	2e-53	180.4	101
XP_015873744	BURP	2.7e-74	248.6	101
XP_015873840	BURP	1.2e-61	207.3	101
XP_015873705	BURP	1.7e-16	59.6	101
XP_015874294	Transferase	3.6e-71	239.3	7
XP_015874233	Transferase	2.3e-16	58.6	7
XP_015874234	Transferase	5.8e-26	90.3	7
XP_015874250	p450	1.9e-97	326.1	50
XP_015874255	Chal_sti_synt_C	1.8e-08	33.7	?
XP_015875915	UDPGT_2	3.9e-28	97.9	248
XP_015875917	UDPGT_2	2.2e-75	253.6	248
XP_015875960	Lipoxygenase	0.0	1058.2	117
XP_015875956	Lipoxygenase	0.0	1041.8	117
XP_015875936	Lipoxygenase	0.0	1049.8	117
XP_015875951	Lipoxygenase	0.0	1053.1	117
