gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
XP_015873212	1456877	1457897	+		LOC107410313	cytosolic sulfotransferase 15-like
XP_015873226	1462225	1463047	+		LOC107410325	uncharacterized protein LOC107410325
XP_015873213	1464008	1484020	-		LOC107410314	cytochrome P450 81D1-like
XP_015873215	1484053	1484740	-		LOC107410315	isoflavone 2'-hydroxylase-like
XP_015873216	1487615	1488167	+		LOC107410316	uncharacterized protein LOC107410316
XP_015873221	1499025	1506108	-		LOC107410322	uncharacterized protein LOC107410322
XP_015873217	1523286	1524699	-		LOC107410317	uncharacterized protein LOC107410317
XP_015873218	1551351	1556738	+		LOC107410318	probable pectinesterase 53
XP_015873227	1570681	1571460	+		LOC107410326	23 kDa jasmonate-induced protein-like
XP_015873219	1595369	1596161	+		LOC107410319	23 kDa jasmonate-induced protein-like
XP_015873252	1614674	1619879	+		LOC107410353	T-complex protein 1 subunit eta
XP_015873267	1620786	1624327	-		LOC10741_337	LOC10741_337
XP_015873268	1620786	1627125	-		LOC107410364	NADH--cytochrome b5 reductase 1-like isoform X2
XP_015873255	1628130	1630062	+		LOC107410355	GDSL esterase/lipase At1g71250-like
XP_015873240	1630707	1632049	+		LOC107410339	geranylgeranyl diphosphate reductase, chloroplastic-like
XP_015873296	1634048	1639039	+		LOC107410383	probable apyrase 6
XP_015873294	1640133	1641840	-		LOC107410382	F-box/WD-40 repeat-containing protein At5g21040
XP_015873295	1640133	1641840	-		LOC10741_338	LOC10741_338
XP_015873697	6056075	6064733	+		LOC107410738	protein CHROMATIN REMODELING 5-like
XP_015873692	6092285	6094624	+		LOC107410735	serine--glyoxylate aminotransferase
XP_015873693	6092285	6094624	+		LOC10741_415	LOC10741_415
XP_015873673	6096245	6097381	+		LOC107410718	F-box protein At4g18380-like
XP_015873682	6106666	6107932	+		LOC107410725	uncharacterized protein LOC107410725
XP_015873691	6121320	6126278	+		LOC107410734	probable magnesium transporter NIPA4
XP_015873674	6127104	6129115	+		LOC107410719	mitochondrial fission 1 protein A-like
XP_015873695	6134052	6136379	-		LOC10741_416	LOC10741_416
XP_015873694	6134052	6137058	-		LOC107410736	integrator complex subunit 3 isoform X1
XP_015873675	6141244	6142185	+		LOC107410720	uncharacterized protein LOC107410720
XP_015873696	6143370	6145375	+		LOC107410737	uncharacterized protein LOC107410737
XP_015873677	6146424	6149419	+		LOC107410721	wall-associated receptor kinase-like 18
XP_015873678	6150458	6152335	-		LOC107410722	uncharacterized protein LOC107410722
XP_015873688	6154609	6154918	-		LOC107410731	uncharacterized protein LOC107410731
XP_015873684	6155794	6157870	-		LOC107410727	pentatricopeptide repeat-containing protein At5g27110
XP_015873681	6160902	6162390	-		LOC107410724	capsanthin/capsorubin synthase, chromoplastic-like
XP_015873687	6164694	6165665	-		LOC107410729	uncharacterized protein LOC107410729
XP_015873689	6166056	6176903	-		LOC107410733	uncharacterized protein LOC107410733
XP_015873686	6193275	6195400	+		LOC10741_417	LOC10741_417
XP_015873685	6193275	6195459	+		LOC107410728	pseudouridine-5'-phosphate glycosidase 2-like isoform X1
XP_015873698	6197505	6203174	-		LOC107410740	TMV resistance protein N-like
XP_015873679	6211204	6212167	-		LOC107410723	uncharacterized protein LOC107410723
XP_015873680	6211204	6212167	-		LOC10741_418	LOC10741_418
XP_015873699	6217591	6218788	-		LOC107410741	F-box protein At3g07870
XP_015873777	6219962	6221274	+		LOC107410813	phytochromobilin:ferredoxin oxidoreductase, chloroplastic-like
XP_015873743	6221853	6225468	-		LOC107410787	uncharacterized protein At2g37660, chloroplastic-like
XP_015873753	6226656	6231714	+		LOC10741_419	LOC10741_419
XP_015873752	6226656	6231982	+		LOC107410795	pseudouridine-5'-phosphate glycosidase-like isoform X1
XP_015873754	6227207	6231982	+		LOC10741_420	LOC10741_420
XP_015873755	6227351	6231982	+		LOC10741_421	LOC10741_421
XP_015873700	6236227	6237648	+		LOC107410742	scarecrow-like protein 3
XP_015873780	6240537	6241070	-		LOC107410817	uncharacterized protein LOC107410817
XP_015873734	6256541	6258044	+		LOC107410779	BURP domain-containing protein 3-like
XP_015873702	6266092	6266659	-		LOC107410743	protein LIM1-like
XP_015873782	6276788	6277358	-		LOC107410818	uncharacterized protein LOC107410818
XP_015873703	6280583	6283550	+		LOC107410744	pentatricopeptide repeat-containing protein At5g62370
XP_015873704	6294884	6295352	-		LOC107410745	BURP domain protein RD22-like
XP_015873744	6303152	6306310	-		LOC107410788	BURP domain-containing protein 3-like
XP_015873840	6315201	6317290	-		LOC107410868	BURP domain-containing protein 5-like
XP_015873705	6323238	6323571	-		LOC107410746	BURP domain-containing protein 5-like
XP_015873706	6324879	6337746	+		LOC107410747	LOW QUALITY PROTEIN: nuclear cap-binding protein subunit 1
XP_015873802	6343590	6356621	+		LOC107410838	DDT domain-containing protein PTM isoform X1
XP_015873803	6343590	6356621	+		LOC10741_422	LOC10741_422
XP_015873826	6358128	6364285	+		LOC107410856	magnesium-chelatase subunit ChlD, chloroplastic
XP_015873763	6365174	6369560	+		LOC107410801	uncharacterized protein LOC107410801 isoform X2
XP_015873762	6365267	6369560	+		LOC10741_423	LOC10741_423
XP_015873765	6365324	6369560	+		LOC10741_424	LOC10741_424
XP_015873766	6365324	6369560	+		LOC10741_425	LOC10741_425
XP_015873839	6370631	6372011	+		LOC107410867	ubiquitin-conjugating enzyme E2 20
XP_015873707	6372820	6378365	-		LOC107410748	protein FAM133B
XP_015873770	6388053	6388969	-		LOC107410804	transcription initiation factor TFIID subunit 15
XP_015873818	6393559	6399024	-		LOC107410849	hexokinase-3 isoform X1
XP_015873819	6393776	6399024	-		LOC10741_426	LOC10741_426
XP_015873760	6439188	6440752	-		LOC107410800	ycf20-like protein isoform X1
XP_015873761	6439216	6440752	-		LOC10741_427	LOC10741_427
XP_015873779	6443637	6446623	-		LOC107410815	pentatricopeptide repeat-containing protein At3g20730
XP_015873725	6447230	6451425	+		LOC107410771	putative metallophosphoesterase At3g03305
XP_015873708	6452936	6453818	-		LOC107410751	pentatricopeptide repeat-containing protein At3g20730-like
XP_015873709	6454428	6457430	+		LOC107410752	putative metallophosphoesterase At3g03305
XP_015873759	6461544	6462315	-		LOC107410798	protein FAR1-RELATED SEQUENCE 9-like
XP_015873710	6467808	6474615	-		LOC107410753	probable E3 ubiquitin-protein ligase ARI8
XP_015873768	6480215	6485834	-		LOC107410803	CMP-sialic acid transporter 3-like
XP_015873769	6480215	6485834	-		LOC10741_428	LOC10741_428
XP_015873711	6496299	6499441	-		LOC107410754	phosphoglycolate phosphatase 1B, chloroplastic-like
XP_015873712	6506863	6511494	+		LOC107410755	early nodulin-75-like
XP_015874240	11480905	11484218	+		LOC107411209	B3 domain-containing transcription factor VRN1-like
XP_015874264	11485959	11486370	+		LOC107411234	uncharacterized protein LOC107411234
XP_015874295	11496523	11501018	+		LOC107411264	12S seed storage protein CRD-like
XP_015874294	11501534	11502863	-		LOC107411263	uncharacterized acetyltransferase At3g50280-like
XP_015874233	11505791	11506298	-		LOC107411203	uncharacterized acetyltransferase At3g50280-like
XP_015874234	11512899	11513801	-		LOC107411204	uncharacterized acetyltransferase At3g50280-like
XP_015874271	11515697	11517525	+		LOC107411243	LOW QUALITY PROTEIN: DNA repair protein RAD51 homolog 4-like
XP_015874251	11518636	11520517	+		LOC107411217	DNA repair protein RAD51 homolog 4-like
XP_015874250	11526073	11527916	+		LOC107411216	licodione synthase-like
XP_015874236	11550541	11551965	+		LOC107411205	pentatricopeptide repeat-containing protein At1g07740, mitochondrial-like
XP_015874278	11554341	11555076	-		LOC107411249	copper transport protein ATX1-like
XP_015874258	11582688	11584307	+		LOC107411226	60S ribosomal protein L35-like
XP_015874255	11629525	11630932	+		LOC107411224	3-ketoacyl-CoA synthase 12-like
XP_015875921	27096817	27099812	-		LOC107412624	G2/mitotic-specific cyclin S13-7-like isoform X2
XP_015875920	27096817	27099812	-		LOC10741_870	LOC10741_870
XP_015875930	27100880	27101291	-		LOC107412630	histone H3.2
XP_015875918	27106940	27109174	+		LOC107412621	IRK-interacting protein-like
XP_015875915	27111947	27116790	-		LOC107412618	UDP-glycosyltransferase 92A1-like
XP_015875916	27117470	27118120	+		LOC107412619	uncharacterized protein LOC107412619
XP_015875917	27136317	27137781	+		LOC107412620	UDP-glycosyltransferase 92A1-like
XP_015875919	27139438	27142259	-		LOC107412622	putative lysine-specific demethylase JMJD5
XP_015875925	27143085	27147446	-		LOC107412626	proline--tRNA ligase, cytoplasmic-like
XP_015875948	27157139	27162641	-		LOC107412649	DNA topoisomerase 6 subunit B
XP_015875960	27169263	27177021	+		LOC107412659	linoleate 13S-lipoxygenase 2-1, chloroplastic-like
XP_015875956	27185098	27191374	+		LOC107412655	linoleate 13S-lipoxygenase 2-1, chloroplastic-like
XP_015875936	27210920	27217357	+		LOC107412635	linoleate 13S-lipoxygenase 2-1, chloroplastic-like
XP_015875950	27220828	27227783	+		LOC107412653	linoleate 13S-lipoxygenase 2-1, chloroplastic-like isoform X1
