gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
XP_015894046	649901	655749	-		LOC107428101	beta-amyrin synthase-like
XP_015894047	664859	672000	-		LOC107428102	cycloartenol synthase
XP_015894040	676473	678129	-		LOC107428092	polygalacturonase QRT3-like
XP_015894042	696728	698207	-		LOC107428094	uncharacterized acetyltransferase At3g50280-like
XP_015894026	722854	728885	-		LOC107428078	uncharacterized protein LOC107428078
XP_015894027	744324	745854	-		LOC107428079	uncharacterized acetyltransferase At3g50280-like
XP_015894028	798374	799399	-		LOC107428080	uncharacterized protein LOC107428080
XP_015894029	799462	810418	+		LOC107428081	dnaJ protein homolog
XP_015894030	911139	911511	-		LOC107428083	uncharacterized acetyltransferase At3g50280-like
XP_015894417	3686487	3693656	+		LOC107428397	probable thimet oligopeptidase
XP_015894424	3697516	3700451	+		LOC107428404	serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' theta isoform-like
XP_015894421	3703954	3706790	+		LOC107428402	serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' theta isoform-like
XP_015894412	3709168	3710491	+		LOC107428393	acylsugar acyltransferase 3-like
XP_015894414	3717372	3718725	+		LOC107428394	vinorine synthase-like
XP_015894428	3740241	3740851	-		LOC107428406	vinorine synthase-like
XP_015894429	3744782	3746060	-		LOC107428407	vinorine synthase-like
XP_015894430	3759504	3760188	-		LOC107428409	vinorine synthase-like
XP_015894431	3762549	3763977	+		LOC107428410	UDP-glucose flavonoid 3-O-glucosyltransferase 7-like
XP_015894432	3767710	3769078	-		LOC107428411	BAHD acyltransferase At5g47980-like
XP_015894433	3771772	3773200	+		LOC107428412	UDP-glucose flavonoid 3-O-glucosyltransferase 7-like
XP_015894434	3776768	3778133	-		LOC107428413	BAHD acyltransferase At5g47980-like
XP_015894435	3840313	3840832	-		LOC107428417	salutaridinol 7-O-acetyltransferase-like
XP_015894436	3871614	3872580	-		LOC107428419	BAHD acyltransferase At5g47980-like
XP_015894438	3874689	3875571	-		LOC107428420	vinorine synthase-like
XP_015894439	3920404	3921724	-		LOC107428421	vinorine synthase-like
XP_015894440	3934083	3935394	+		LOC107428423	vinorine synthase-like
XP_015894441	3947198	3948452	-		LOC107428424	vinorine synthase-like
XP_015894443	3958941	3973602	-		LOC107428425	vinorine synthase-like
XP_015894486	3977258	3978575	+		LOC107428467	vinorine synthase-like
XP_015894507	3983819	3985103	-		LOC107428484	vinorine synthase-like
XP_015894444	3986559	3987874	-		LOC107428426	vinorine synthase-like
XP_015894464	3989592	3991579	+		LOC107428450	probable carboxylesterase 11
XP_015894512	3992471	3994031	+		LOC107428490	DELLA protein RGL1-like
XP_015894560	3994355	3996892	+		LOC107428526	protein HHL1, chloroplastic
XP_015894491	4000609	4002587	-		LOC107428471	cytochrome P450 71A1-like
XP_015894500	4023210	4026222	-		LOC107428477	cytochrome P450 71A1
XP_015894734	5595890	5598050	+		LOC107428681	cytochrome P450 84A1-like
XP_015894693	5604093	5605287	-		LOC107428638	BAHD acyltransferase At5g47980-like
XP_015894694	5608168	5609362	-		LOC107428639	BAHD acyltransferase At5g47980-like
XP_015894695	5619569	5630648	-		LOC107428640	cytosolic sulfotransferase 14-like
XP_015894696	5631758	5632718	+		LOC107428641	cytosolic sulfotransferase 15-like
XP_015894697	5678127	5680450	+		LOC107428642	cytochrome P450 84A1-like
XP_015894698	5681474	5682027	-		LOC107428643	UDP-glycosyltransferase 89B2-like
XP_015894708	6360932	6364143	-		LOC107428658	probable nucleoredoxin 1
XP_015894781	6380377	6382478	-		LOC107428715	probable nucleoredoxin 1
XP_015894709	6386185	6387304	-		LOC107428659	LOW QUALITY PROTEIN: glucan endo-1,3-beta-glucosidase, acidic isoform GL161-like
XP_015894729	6390114	6390705	+		LOC107428674	uncharacterized protein LOC107428674
XP_015894738	6392459	6395323	+		LOC107428684	transcription factor bHLH90
XP_015894710	6396101	6399894	-		LOC107428660	proline-rich receptor-like protein kinase PERK13
XP_015894712	6406029	6407554	+		LOC107428663	probable inactive poly [ADP-ribose] polymerase SRO2 isoform X1
XP_015894713	6406029	6407554	+		LOC10742_2625	LOC10742_2625
XP_015894722	6409009	6415173	-		LOC107428669	STE20/SPS1-related proline-alanine-rich protein kinase-like isoform X2
XP_015894723	6409009	6415173	-		LOC10742_2626	LOC10742_2626
XP_015894720	6409009	6415173	-		LOC10742_2627	LOC10742_2627
XP_015894721	6409009	6415173	-		LOC10742_2628	LOC10742_2628
XP_015894724	6409659	6415173	-		LOC10742_2629	LOC10742_2629
XP_015894788	6421487	6424815	+		LOC107428719	uncharacterized protein LOC107428719 isoform X2
XP_015894789	6421487	6424815	+		LOC10742_2630	LOC10742_2630
XP_015894787	6421487	6424815	+		LOC10742_2631	LOC10742_2631
XP_015894793	6429231	6431195	-		LOC10742_2634	LOC10742_2634
XP_015894791	6429231	6431987	-		LOC107428720	AMSH-like ubiquitin thioesterase 2 isoform X2
