gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
XP_015881569	349487	358399	-		LOC107417475	protein transport protein SEC31 homolog B isoform X2
XP_015881568	349487	358399	-		LOC10741_2010	LOC10741_2010
XP_015881540	360022	360731	-		LOC107417440	metallothiol transferase FosB
XP_015881551	361945	365359	+		LOC107417449	methyltransferase-like protein 13
XP_015881556	368042	371221	+		LOC107417456	agamous-like MADS-box protein AGL15
XP_015881542	372047	372977	-		LOC107417441	protein BPS1, chloroplastic-like
XP_015881553	378171	381973	+		LOC107417450	serine carboxypeptidase-like 40
XP_015881543	404667	406614	-		LOC107417442	2-oxoglutarate-dependent dioxygenase AOP3-like
XP_015881544	419272	420854	-		LOC107417443	2-oxoglutarate-dependent dioxygenase AOP2-like
XP_015881558	424814	425941	-		LOC107417464	probable inactive 2-oxoglutarate-dependent dioxygenase AOP2
XP_015881550	445233	446724	-		LOC107417448	probable inactive 2-oxoglutarate-dependent dioxygenase AOP2
XP_015881545	460909	462269	-		LOC107417444	probable 2-oxoglutarate-dependent dioxygenase AOP1
XP_015881696	2308958	2310766	+		LOC107417602	glucan endo-1,3-beta-glucosidase 6
XP_015881659	2314004	2314664	+		LOC107417565	uncharacterized protein LOC107417565
XP_015881796	2314705	2318128	+		LOC107417677	serine/threonine-protein kinase HT1-like
XP_015881764	2319858	2326856	+		LOC10741_2023	LOC10741_2023
XP_015881763	2319858	2326953	+		LOC107417660	glycogen synthase-like isoform X1
XP_015881762	2328523	2334144	-		LOC107417659	uncharacterized protein LOC107417659
XP_015881660	2335755	2337973	-		LOC107417566	squamosa promoter-binding-like protein 3
XP_015881721	2350771	2354346	-		LOC107417621	chloroplast envelope membrane protein
XP_015881722	2350771	2354346	-		LOC10741_2024	LOC10741_2024
XP_015881720	2355321	2355951	+		LOC107417620	30S ribosomal protein S17-like
XP_015881718	2355756	2356169	+		LOC10741_2025	LOC10741_2025
XP_015881717	2355756	2356818	+		LOC107417619	30S ribosomal protein S17-like isoform X1
XP_015881716	2357203	2358078	+		LOC107417618	LOW QUALITY PROTEIN: ethylene-responsive transcription factor ERF015
XP_015881661	2359875	2361506	-		LOC107417567	uncharacterized protein LOC107417567
XP_015881751	2361650	2363337	+		LOC107417649	3-ketoacyl-CoA synthase 15
XP_015881662	2364321	2371801	-		LOC107417568	uncharacterized protein LOC107417568
XP_015881663	2396659	2400767	+		LOC107417569	lupeol synthase-like
XP_015881738	2405720	2407197	-		LOC107417636	prefoldin subunit 1
XP_015881792	2408168	2411919	+		LOC107417674	serine/threonine-protein kinase At5g01020 isoform X1
XP_015881793	2408168	2411919	+		LOC10741_2026	LOC10741_2026
XP_015881728	2412797	2416715	-		LOC107417624	microtubule-associated protein TORTIFOLIA1 isoform X2
XP_015881725	2412892	2416715	-		LOC10741_2027	LOC10741_2027
XP_015881726	2412892	2416715	-		LOC10741_2028	LOC10741_2028
XP_015881727	2412892	2416715	-		LOC10741_2029	LOC10741_2029
XP_015881665	2425575	2432954	-		LOC107417571	cycloartenol synthase 2
XP_015881666	2436587	2445374	+		LOC107417572	LOW QUALITY PROTEIN: cycloartenol synthase-like
XP_015881797	2445789	2451613	-		LOC107417678	WD repeat-containing protein 36
XP_015881740	2452673	2453954	-		LOC107417638	F-box protein At3g07870-like
XP_015881675	2705504	2708275	+		LOC107417582	protein DETOXIFICATION 43
XP_015881676	2709265	2712938	-		LOC107417583	serine carboxypeptidase-like 18
XP_015881677	2715420	2719022	-		LOC107417584	serine carboxypeptidase-like 8
XP_015881678	2722510	2727403	-		LOC107417585	serine carboxypeptidase-like 18
XP_015881679	2729165	2733080	-		LOC107417586	serine carboxypeptidase-like 8
XP_015881680	2734783	2738845	-		LOC107417587	serine carboxypeptidase-like 11
XP_015881682	2746913	2749781	-		LOC107417589	serine carboxypeptidase-like 18
XP_015881683	2754708	2755173	+		LOC107417590	serine carboxypeptidase-like 13
XP_015881700	2757057	2759244	-		LOC107417606	zinc finger CCCH domain-containing protein 30
XP_015881705	2765465	2766314	-		LOC107417610	uncharacterized protein LOC107417610 isoform X2
XP_015881704	2765465	2766314	-		LOC10741_2048	LOC10741_2048
XP_015881699	2767313	2773128	-		LOC107417605	cellulose synthase A catalytic subunit 3 [UDP-forming]
XP_015881703	2775260	2779463	+		LOC107417609	protein FRA10AC1 homolog
XP_015882173	6950024	6951569	+		LOC107418019	cytochrome P450 94B3-like
XP_015882193	6957096	6959153	-		LOC107418039	SWI/SNF complex component SNF12 homolog
XP_015882194	6957096	6959153	-		LOC10741_2131	LOC10741_2131
XP_015882195	6957096	6959153	-		LOC10741_2132	LOC10741_2132
XP_015882151	6960116	6962137	+		LOC107418003	60S ribosomal protein L17-2-like
XP_015882150	6962754	6964640	-		LOC107418002	UPF0235 protein At5g63440
XP_015882227	6975879	6977091	-		LOC107418071	protein ROOT PRIMORDIUM DEFECTIVE 1-like
XP_015882237	6978315	6983700	-		LOC107418080	probable pectin methyltransferase QUA2
XP_015882201	7001780	>7006732	+		LOC107418044	RNA-binding protein 38-like
XP_015882202	7008558	7009637	+		LOC107418045	protein TRANSPARENT TESTA 1-like
XP_015882203	<7016839	7017598	+		LOC107418046	7-deoxyloganetin glucosyltransferase-like
XP_015882205	7036691	7061471	-		LOC107418047	7-deoxyloganetin glucosyltransferase-like
XP_015882224	7086745	7088624	-		LOC107418069	7-deoxyloganetin glucosyltransferase-like
XP_015882238	7099021	7100809	-		LOC107418081	7-deoxyloganetin glucosyltransferase-like
XP_015882206	7104985	7105814	-		LOC107418048	uncharacterized protein LOC107418048
XP_015882556	10044672	10054210	+		LOC107418383	protein MICRORCHIDIA 6 isoform X1
XP_015882557	10044672	10054210	+		LOC10741_2182	LOC10741_2182
XP_015882558	10044672	10054210	+		LOC10741_2183	LOC10741_2183
XP_015882559	10044672	10054210	+		LOC10741_2184	LOC10741_2184
XP_015882562	10044672	10054210	+		LOC10741_2185	LOC10741_2185
XP_015882560	10044672	10054210	+		LOC10741_2186	LOC10741_2186
XP_015882561	10044672	10054210	+		LOC10741_2187	LOC10741_2187
XP_015882563	10044771	10054210	+		LOC10741_2188	LOC10741_2188
XP_015882564	10044771	10054210	+		LOC10741_2189	LOC10741_2189
XP_015882552	10067522	10070813	+		LOC107418380	anthranilate phosphoribosyltransferase, chloroplastic
XP_015882554	10071560	10072898	-		LOC107418381	uncharacterized protein LOC107418381
