signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015881551	Methyltransf_11	1.3e-16	60.2	141
XP_015881553	Peptidase_S10	1.2e-145	485.3	57
XP_015881543	DIOX_N	7.7e-12	45.2	384
XP_015881543	2OG-FeII_Oxy	4e-12	45.7	136
XP_015881544	DIOX_N	7.7e-07	29.1	384
XP_015881544	2OG-FeII_Oxy	6.8e-14	51.4	136
XP_015881558	DIOX_N	2e-10	40.6	384
XP_015881558	2OG-FeII_Oxy	3.5e-13	49.1	136
XP_015881550	DIOX_N	3.1e-14	52.9	384
XP_015881550	2OG-FeII_Oxy	4.2e-19	68.1	136
XP_015881763	Glycos_transf_1	1.2e-12	46.9	?
XP_015881751	Chal_sti_synt_C	1.2e-05	24.5	?
XP_015881751	Chal_sti_synt_N	5.6e-05	21.8	?
XP_015881663	SQHop_cyclase_N	6.3e-40	136.3	135
XP_015881665	SQHop_cyclase_C	1.3e-44	151.8	17
XP_015881665	SQHop_cyclase_N	2.1e-41	141.1	135
XP_015881665	Prenyltrans	2.2	7.3	?
XP_015881666	SQHop_cyclase_C	8.8e-36	122.8	17
XP_015881666	SQHop_cyclase_N	4.7e-41	140.0	135
XP_015881676	Peptidase_S10	2.6e-79	266.7	57
XP_015881677	Peptidase_S10	6.1e-85	285.3	57
XP_015881678	Peptidase_S10	3.7e-70	236.6	57
XP_015881679	Peptidase_S10	7.7e-62	209.2	57
XP_015881680	Peptidase_S10	3.3e-96	322.4	57
XP_015881682	Peptidase_S10	1.2e-22	80.1	57
XP_015881683	Peptidase_S10	1.4e-21	76.6	57
XP_015881699	Cellulose_synt	0.0	1379.3	12
XP_015882173	p450	3.8e-62	209.7	50
XP_015882237	Methyltransf_11	2.2e-06	27.4	141
XP_015882203	UDPGT_2	1.7e-81	273.7	248
XP_015882205	UDPGT_2	5.7e-75	252.2	248
XP_015882224	UDPGT_2	1.9e-131	438.3	248
XP_015882238	UDPGT_2	2.6e-131	437.9	248
XP_015882578	BURP	5.4e-65	218.2	101
XP_015882579	BURP	2.8e-65	219.1	101
XP_015882832	Methyltransf_7	3.5e-99	331.3	131
XP_015882833	Methyltransf_7	3.5e-99	331.3	131
XP_015882834	Methyltransf_7	3.5e-99	331.3	131
XP_015882806	Methyltransf_7	3.3e-104	347.8	131
XP_015882807	Methyltransf_7	4.6e-105	350.6	131
XP_015882809	Methyltransf_7	4.6e-21	74.5	131
XP_015882810	Methyltransf_7	3.3e-48	163.8	131
XP_015882811	Methyltransf_7	5.7e-92	307.6	131
XP_015882812	Methyltransf_7	6.3e-36	123.4	131
XP_015882813	Methyltransf_7	1.7e-37	128.5	131
XP_015882815	Methyltransf_7	4.4e-47	160.0	131
XP_015882817	Methyltransf_7	8.2e-103	343.2	131
XP_015882836	Methyltransf_7	7.1e-102	340.1	131
XP_015882837	Methyltransf_7	4.8e-68	228.9	131
XP_015882818	Methyltransf_7	5.4e-18	64.5	131
XP_015882840	Methyltransf_7	1.5e-26	92.6	131
XP_015882819	Methyltransf_7	4.5e-31	107.4	131
XP_015882839	Methyltransf_7	8.8e-105	349.7	131
XP_015882831	Methyltransf_7	2.7e-93	312.0	131
XP_015882820	UDPGT_2	9.4e-09	34.0	248
XP_015882822	Methyltransf_7	1.1e-101	339.5	131
XP_015882823	Methyltransf_7	2.8e-32	111.4	131
XP_015882824	Methyltransf_7	3.7e-96	321.3	131
XP_015882825	Methyltransf_7	1.6e-49	168.1	131
XP_015882826	Methyltransf_7	1e-96	323.2	131
XP_015882835	Methyltransf_7	2.1e-94	315.6	131
XP_015883265	Methyltransf_2	3.7e-30	104.0	9
XP_015883266	Methyltransf_2	4.6e-42	142.9	9
XP_015883268	Methyltransf_2	6e-59	198.2	9
XP_015883270	UDPGT_2	1.1e-23	83.3	248
XP_015883272	UDPGT_2	3.5e-62	210.1	248
XP_015883654	BURP	4.2e-67	225.0	101
XP_015883659	BURP	6.3e-67	224.5	101
XP_015883654	BURP	4.2e-67	225.0	101
XP_015883659	BURP	6.3e-67	224.5	101
XP_015883725	BURP	1.6e-65	219.9	101
