signature gene	pHMM hits	e-value	bit score	number of seeds
AES68413	Epimerase	2e-05	23.4	96
AES68416	UDPGT_2	7.6e-122	406.7	248
AES68417	Aminotran_1_2	1.1e-49	168.8	48
AES68424	Epimerase	4.5e-05	22.2	96
AES68428	Epimerase	5.3e-05	22.0	96
KEH33305	Transferase	1.1e-05	23.4	7
KEH33306	Transferase	7.3e-28	96.6	7
KEH33307	UDPGT_2	2.8e-35	121.4	248
KEH33933	Methyltransf_7	1.3e-103	345.8	131
KEH33939	Amino_oxidase	6.4e-14	51.3	83
AES70420	Amino_oxidase	4.7e-13	48.4	83
AES70426	Amino_oxidase	2e-85	287.0	83
AES70428	Bet_v_1	9.9e-10	37.7	18
AES70430	Bet_v_1	1.3e-11	43.8	18
AES70556	p450	1e-45	155.5	50
AES70567	p450	1.1e-94	317.0	50
AES70570	p450	1.1e-97	326.9	50
AES70571	p450	4.7e-54	183.0	50
AES70572	p450	8.4e-10	37.1	50
AES70573	p450	7.4e-96	320.9	50
AES70574	p450	1.5e-102	342.9	50
AES70578	p450	3.8e-95	318.5	50
AES70579	p450	1.8e-99	332.7	50
AES70581	p450	3.4e-96	322.0	50
AES70585	p450	2.2e-96	322.6	50
AES70590	p450	1.3e-100	336.6	50
KEH34009	Terpene_synth_C	3.4e-68	229.1	?
KEH34009	Terpene_synth	4.9e-44	149.5	?
KEH34013	p450	8.8e-102	340.4	50
KEH34014	p450	1.2e-106	356.4	50
KEH34015	p450	7.1e-83	278.1	50
KEH34016	p450	1.7e-105	352.6	50
KEH34017	p450	1.7e-105	352.6	50
AES71540	BURP	7.4e-60	201.4	101
AES71557	p450	1.4e-10	39.7	50
AES71564	adh_short	2e-25	88.6	?
AES71573	Lipoxygenase	0.0	1028.8	117
AES71576	Lipoxygenase	0.0	1027.4	117
KEH35115	Lipoxygenase	0.0	1037.9	117
KEH35116	UDPGT_2	4.3e-116	387.8	248
KEH35117	UDPGT_2	7.4e-124	413.3	248
KEH35119	UDPGT_2	2.4e-121	405.0	248
KEH35120	NAD_binding_1	2.2e-29	101.5	?
KEH35122	UDPGT_2	9e-90	301.0	248
KEH35123	UDPGT_2	1.5e-31	109.1	248
AES71579	UDPGT_2	1.8e-125	418.7	248
AES71580	NAD_binding_1	2.2e-29	101.5	?
AES71585	Peptidase_S10	3.7e-141	470.5	57
AES71586	Peptidase_S10	1.7e-140	468.3	57
AES71587	Peptidase_S10	1.6e-142	475.0	57
AES71588	Peptidase_S10	4.9e-137	456.9	57
AES71590	Peptidase_S10	1.8e-134	448.5	57
AES71591	Peptidase_S10	3.1e-128	427.9	57
KEH35854	Glycos_transf_2	2.4e-16	59.2	?
KEH35856	SE	1.1e-120	401.1	12
KEH35860	Aminotran_1_2	8.6e-101	336.9	48
AES73702	BURP	3.7e-75	251.4	101
AES73850	BURP	3.5e-81	271.1	101
AES74140	BURP	3.4e-65	218.8	101
AES74144	BURP	1.1e-65	220.4	101
AES74150	BURP	2.5e-78	261.7	101
AES74153	BURP	9.1e-76	253.4	101
