gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AES86450	962519	965071	+		MTR_4g007130	acyl-CoA N-acyltransferase (NAT) superfamily protein
AES86451	967091	971177	-		MTR_4g007140	DS12 from 2D-PAGE of leaf protein, putative
AES86452	973377	975052	-		MTR_4g007150	hypothetical protein
AES86453	976510	978298	+		MTR_4g007160	PPR containing plant-like protein
AES86455	982162	985540	-		MTR_4g007180	3-ketoacyl carrier synthase III
AES86456	988332	994937	+		MTR_4g007190	Low PSII accumulation protein
KEH28551	1004019	1007450	+		MTR_4g007210	ubiquitin-conjugating enzyme
AES86458	1009942	1012159	+		MTR_4g007220	galactoside 2-alpha-L-fucosyltransferase-like protein
AES86478	1016130	1021219	+		MTR_4g007420	methyltransferase WBSCR22
AES86477	1022601	1024420	-		MTR_4g007410	anaphase-promoting complex subunit 11 RING-H2 finger protein
AES86476	1027599	1027857	+		MTR_4g007400	hypothetical protein
KEH29872	19468742	19470659	-		MTR_4g053775	transmembrane protein, putative
KEH29873	19475620	19484440	+		MTR_4g053785	gland-specific fatty acyl-CoA reductase
KEH29874	19496092	19496683	-		MTR_4g053825	hypothetical protein
AES88360	19501471	19507550	+		MTR_4g053880	gland-specific fatty acyl-CoA reductase
KEH29875	19514084	19514833	+		MTR_4g053883	transmembrane protein, putative
KEH29876	19519052	19520018	+		MTR_4g053887	hypothetical protein
AES88362	19528543	19535304	+		MTR_4g053900	gland-specific fatty acyl-CoA reductase
KEH29877	19535729	19535885	-		MTR_4g053902	transmembrane protein, putative
KEH29878	19539673	19540159	-		MTR_4g053905	3-ketoacyl-CoA synthase-like protein
AES88369	19542233	19545250	-		MTR_4g054020	white-brown-complex ABC transporter family protein, putative
KEH29879	19548431	19548906	+		MTR_4g053908	transmembrane protein, putative
AES88382	19650295	19651374	-		MTR_4g054200	hypothetical protein
AES88384	19655847	19657776	+		MTR_4g054220	fatty acyl-CoA reductase
AES88385	19658588	19658888	-		MTR_4g054230	transmembrane protein, putative
AES88386	19662459	19664269	+		MTR_4g054240	fatty acyl-CoA reductase-like protein, putative
KEH29881	19667838	19668138	-		MTR_4g054245	hypothetical protein
AES88388	19671596	19672956	-		MTR_4g054260	FAE1/type III polyketide synthase-like protein
KEH29882	19678038	19678398	-		MTR_4g054265	3-ketoacyl-CoA synthase-like protein
KEH29883	19678899	19679589	-		MTR_4g054275	hypothetical protein
AES88391	19682540	19691283	+		MTR_4g054290	fatty acid hydroxylase superfamily protein
AES88392	19699620	19701868	+		MTR_4g054320	WAX2 carboxy-terminal domain protein
AES88394	19719626	19720433	-		MTR_4g054360	ethylene-responsive transcription factor
KEH29884	19737566	19738229	+		MTR_4g054405	hypothetical protein
KEH29885	19742716	19748429	-		MTR_4g054415	3-ketoacyl-CoA synthase-like protein
AES88397	19760894	19762307	+		MTR_4g054440	transmembrane protein, putative
AES88400	19772773	19773025	+		MTR_4g054580	hypothetical protein
AES88403	19791253	19797371	+		MTR_4g054630	3-ketoacyl-CoA synthase-like protein
AES88405	19824926	19825456	+		MTR_4g054700	hypothetical protein
KEH29886	19839307	19839655	-		MTR_4g054735	hypothetical protein
AES88407	19840240	19840960	+		MTR_4g054740	ethylene-responsive transcription factor
AES88409	19853325	19853511	-		MTR_4g054770	transmembrane protein, putative
KEH29887	19855976	19858026	-		MTR_4g054775	hypothetical protein
AES88411	19872641	19881213	+		MTR_4g054820	gland-specific fatty acyl-CoA reductase
AES88414	19890556	19890883	+		MTR_4g054850	transmembrane protein, putative
AES88415	19892511	19893345	-		MTR_4g054860	ethylene-responsive transcription factor
KEH29888	19895254	19895467	-		MTR_4g054865	transmembrane protein, putative
AES88417	19907371	19907759	-		MTR_4g054890	hypothetical protein
AES88418	19917450	19919171	-		MTR_4g054900	hypothetical protein
AES88420	19931523	19933077	+		MTR_4g054920	cytochrome P450 family 94 protein
KEH30092	23207907	23209233	+		MTR_4g062450	heavy-metal-associated domain protein
KEH30093	23211916	23212690	+		MTR_4g062460	disease resistance response/dirigent-like protein
KEH30094	23214135	23215050	-		MTR_4g062470	disease resistance-responsive, dirigent domain protein
KEH30095	23215884	23217258	-		MTR_4g062480	PPR containing plant-like protein
KEH30096	23222864	23225062	-		MTR_4g062500	cytochrome P450 family flavone synthase
KEH30097	23230606	23232401	-		MTR_4g062510	cytochrome P450 family flavone synthase
KEH30098	23238073	23238985	+		MTR_4g062520	disease resistance-responsive, dirigent domain protein
KEH30099	23243026	23244923	+		MTR_4g062530	cytochrome P450 family protein
KEH30104	23246308	23254009	-		MTR_4g062540	DNA repair protein RAD51
KEH30103	23246308	23254009	-		MTR_4g06_17	MTR_4g06_17
KEH30102	23246308	23254009	-		MTR_4g06_18	MTR_4g06_18
KEH30100	23249147	23254009	-		MTR_4g06_19	MTR_4g06_19
KEH30101	23251048	23254009	-		MTR_4g06_20	MTR_4g06_20
KEH30105	23251048	23254009	-		MTR_4g06_21	MTR_4g06_21
KEH30107	23251290	23254009	-		MTR_4g06_22	MTR_4g06_22
KEH30106	23251446	23254009	-		MTR_4g06_23	MTR_4g06_23
AES89009	25528136	25532287	+		MTR_4g068000	plant regulator RWP-RK family protein
KEH30351	25533469	25536110	-		MTR_4g068005	hypothetical protein
AES89022	25540389	25549270	-		MTR_4g068150	P-loop nucleoside triphosphate hydrolase superfamily protein
AES89023	25540389	25549270	-		MTR_4g06_76	MTR_4g06_76
KEH30352	25549660	25550271	-		MTR_4g068155	transmembrane protein, putative
AES89025	25557584	25562701	+		MTR_4g068180	RabGAP/TBC domain protein
AES89026	25563397	25566172	-		MTR_4g068190	FKBP-type peptidyl-prolyl cis-trans isomerase
AES89027	25566808	25569345	+		MTR_4g068200	disease resistance protein (TIR-NBS-LRR class)
AES89028	25570694	25576398	+		MTR_4g068210	membrane-associated 30 kDa protein
AES89029	25571076	25576398	+		MTR_4g06_77	MTR_4g06_77
AES89030	25580016	25580265	+		MTR_4g068220	transmembrane protein, putative
AES89031	25583247	25585871	+		MTR_4g068230	orn/lys/arg decarboxylase
AES89032	25587271	25590733	+		MTR_4g068240	orn/lys/arg decarboxylase major region protein
AES89034	25597238	25600385	+		MTR_4g068270	orn/lys/arg decarboxylase major region protein
AES89035	25601620	25604526	+		MTR_4g068280	trigger factor-like protein, putative
AES89036	25605082	25606712	-		MTR_4g068290	CSL zinc finger protein, putative
AES89037	25609826	25611109	+		MTR_4g068300	B3 DNA-binding domain protein
AES89038	25615527	25616535	+		MTR_4g068310	B3 DNA-binding domain protein
AES89039	25619752	25622225	+		MTR_4g068320	B3 domain transcription factor VRN1-like protein
AES89040	25623768	25624168	+		MTR_4g068330	transmembrane protein, putative
AES89041	25625865	25626747	-		MTR_4g068340	T1.3 protein
AES89043	25631212	25633087	-		MTR_4g068360	PPR containing plant-like protein
KEH30353	25635195	25636373	+		MTR_4g068365	hypothetical protein
AES89044	25637492	25637738	-		MTR_4g068370	CSL zinc finger protein
AES89045	25638425	25641816	-		MTR_4g068380	transmembrane protein, putative
AES89046	25645188	25645377	-		MTR_4g068400	hypothetical protein
AES89048	25648618	25649062	+		MTR_4g068420	BURP domain protein
KEH30354	25657526	25659004	-		MTR_4g068447	hypothetical protein
AES89060	25659524	25676251	+		MTR_4g068580	phosphatidylinositol 3- and 4-kinase
AES89059	25678109	25679723	+		MTR_4g068570	hypothetical protein
AES89058	25681379	25681604	+		MTR_4g068560	hypothetical protein
KEH30355	25697991	25698207	+		MTR_4g068453	hypothetical protein
KEH30356	25702267	25703764	-		MTR_4g068457	transducin/WD40 repeat protein
KEH30359	25716771	25718720	+		MTR_4g06_79	MTR_4g06_79
KEH30357	25716771	25720040	+		MTR_4g06_78	MTR_4g06_78
KEH30358	25716771	25720885	+		MTR_4g068475	clast3, related protein
AES89057	25732101	25733550	+		MTR_4g068550	fatty acid hydroperoxide lyase
AES89056	25739160	25741322	+		MTR_4g068520	cold acclimation protein WCOR413
AES89055	25742720	25744856	+		MTR_4g068510	cold acclimation protein WCOR413
KEH30360	25745619	25750814	-		MTR_4g068670	long-chain fatty acyl CoA ligase
KEH30361	25754667	25757816	+		MTR_4g068700	hypothetical protein
KEH30362	25761622	25761787	-		MTR_4g068710	import receptor subunit TOM6-like protein
KEH30363	25767070	25768851	+		MTR_4g068730	hypothetical protein
KEH30365	25769206	25777750	+		MTR_4g068740	LRR receptor-like kinase family protein
KEH30364	25772511	25777750	+		MTR_4g06_80	MTR_4g06_80
KEH30365	25769206	25777750	+		MTR_4g068740	LRR receptor-like kinase family protein
KEH30364	25772511	25777750	+		MTR_4g06_80	MTR_4g06_80
KEH30366	25779786	25780857	+		MTR_4g068750	hypothetical protein
KEH30367	25791622	25794111	+		MTR_4g068770	structural constituent of ribosome protein
KEH30368	25795492	25796475	+		MTR_4g068780	CASP-like protein
