gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AES93777	1324740	1336694	-		MTR_5g007380	insulinase (peptidase family M16)
AES93778	1337604	1337976	+		MTR_5g007390	hypothetical protein
AES93780	1339903	1342574	-		MTR_5g007400	GCN5-related N-acetyltransferase (GNAT) family protein
AES93781	1346560	1348975	-		MTR_5g007410	F-box/RNI/FBD-like domain protein
AES93782	1350743	1351216	+		MTR_5g007420	transmembrane protein, putative
AES93783	1355345	1356937	+		MTR_5g007430	hypothetical protein
AES93785	1363193	1365015	+		MTR_5g007450	cytochrome P450 family 71 protein
AES93786	1368810	1370704	+		MTR_5g007460	cytochrome P450 family monooxygenase
AES93787	1371235	1372600	-		MTR_5g007470	hypothetical protein
AES93788	1372950	1376663	-		MTR_5g007480	protein transporter
KEH27369	1387014	1387263	-		MTR_5g007515	hypothetical protein
AES93790	1387810	1394165	-		MTR_5g007520	GC-rich sequence DNA-binding factor, putative
KEH27370	1403074	1404170	+		MTR_5g007545	hypothetical protein
AES93793	1406408	1408230	-		MTR_5g007550	cytochrome P450 family 71 protein
AES93794	1408498	1412359	+		MTR_5g007560	hypothetical protein
AES93795	1412547	1413063	-		MTR_5g007570	hypothetical protein
AES93796	1414871	1415066	+		MTR_5g007580	casein kinase I, putative
AES93797	1415180	1418172	-		MTR_5g007590	casein kinase I-like protein
AES93798	1423315	1424761	+		MTR_5g007600	GATA type zinc finger transcription factor family protein
AES93799	1427474	1428723	-		MTR_5g007610	F-box protein interaction domain protein
AES93800	1434625	1440207	+		MTR_5g007630	cyclic nucleotide-gated cation channel protein
KEH27371	1442043	1442454	+		MTR_5g007635	transmembrane protein, putative
AES93801	1444199	1449967	+		MTR_5g007640	4-coumarate:CoA ligase-like protein
AES93802	1450417	1450802	+		MTR_5g007650	transmembrane protein, putative
AES93803	1451343	1452139	-		MTR_5g007660	IBR domain protein
AES93804	1455061	1455874	-		MTR_5g007670	IBR domain protein
KEH27372	1464308	1467736	+		MTR_5g00_41	MTR_5g00_41
AES93807	1464308	1468054	+		MTR_5g007700	SMG9-like protein
KEH27373	1468324	1470340	-		MTR_5g007705	hypothetical protein
KEH27374	1471215	1473344	+		MTR_5g00_42	MTR_5g00_42
AES93808	1471215	1474618	+		MTR_5g007710	ubiquitin-protein ligase synoviolin
KEH27375	1477585	1478881	+		MTR_5g007713	chalcone and stilbene synthase family protein
