gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AES68411	1253287	1253551	+		MTR_3g007950	phenylcoumaran benzylic ether reductase-like protein, putative
AES68412	1258753	1259312	-		MTR_3g007960	transmembrane protein, putative
AES68413	1261688	1264515	+		MTR_3g007970	phenylcoumaran benzylic ether reductase-like protein
AES68416	1281110	1283011	-		MTR_3g008010	UDP-glucosyltransferase family protein
AES68417	1284788	1291225	-		MTR_3g008020	8-amino-7-oxononanoate synthase-like protein
AES68419	1295817	1300331	-		MTR_3g008040	ABC transporter
AES68420	1303067	1304858	-		MTR_3g008050	F-box/RNI/FBD-like domain protein
AES68421	1310315	1312198	+		MTR_3g008070	hypothetical protein
AES68422	1312561	1312747	-		MTR_3g008080	hypothetical protein
AES68423	1315516	1317067	+		MTR_3g008090	exocyst complex component sec5
AES68425	1320406	1324327	-		MTR_3g008100	phenylcoumaran benzylic ether reductase-like protein
KEH32840	1320406	1324327	-		MTR_3g00_25	MTR_3g00_25
AES68424	1320406	1324327	-		MTR_3g00_26	MTR_3g00_26
AES68426	1330410	1330713	-		MTR_3g008120	hypothetical protein
AES68428	1335918	1338881	-		MTR_3g008140	phenylcoumaran benzylic ether reductase-like protein
AES68429	1347098	1350195	+		MTR_3g008160	sugar porter (SP) family MFS transporter
KEH33305	11527398	11527764	-		MTR_3g435290	transferase family protein
KEH33306	11527975	11528794	-		MTR_3g435300	transferase family protein
KEH33307	11529657	11532415	+		MTR_3g435310	UDP-glucosyltransferase family protein
KEH33308	11533968	11536022	+		MTR_3g435320	NDH-dependent flow 6 protein
KEH33932	21549575	21552288	+		MTR_3g054320	polygalacturonase/glycoside hydrolase family protein
KEH33933	21554604	21559051	-		MTR_3g054330	indole-3-acetate O-methyltransferase-like protein
KEH33934	21572035	21576356	-		MTR_3g054360	LBP/BPI/CETP family, carboxy-terminal domain protein
KEH33935	21579559	21579973	-		MTR_3g054370	LBP/BPI/CETP family, amino-terminal domain protein
KEH33936	21584587	21584899	-		MTR_3g054380	histone H4 domain protein
KEH33937	21589784	21592985	-		MTR_3g054400	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
KEH33938	21595771	21596200	+		MTR_3g054410	NADH-quinone oxidoreductase, chain I
KEH33939	21597753	21598634	-		MTR_3g054420	flavin containing amine oxidase
AES70416	21599516	21599809	-		MTR_3g054960	oxysterol-binding protein, putative
AES70418	21620783	21621215	-		MTR_3g055000	hypothetical protein
AES70419	21622276	21622999	+		MTR_3g055010	NB-ARC domain disease resistance protein
AES70420	21623912	21626884	-		MTR_3g055020	helicase associated domain protein
AES70424	21642274	21642885	-		MTR_3g055070	hypothetical protein
AES70425	21643990	21644713	+		MTR_3g055080	NB-ARC domain disease resistance protein
AES70426	21645627	21648360	-		MTR_3g055090	lysine-specific histone demethylase-like protein
KEH33940	21652255	21652749	-		MTR_3g055105	transmembrane protein, putative
AES70429	21658060	21658729	-		MTR_3g055120	pathogenesis-related protein bet V I family protein
AES70428	21658060	21658729	-		MTR_3g05_31	MTR_3g05_31
AES70430	21661090	21661909	-		MTR_3g055130	pathogenesis-related protein bet V I family protein
AES70550	22824090	22824542	+		MTR_3g057070	ethylene response factor
AES70547	22828069	22828489	-		MTR_3g057030	hypothetical protein
AES70556	22831698	22832254	-		MTR_3g057170	cytochrome P450 family 71 protein
