gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AES74561	2246141	2256849	-		MTR_6g008410	group IIA intron splicing facilitator CRS1
AES74562	2259576	2259789	-		MTR_6g008420	hypothetical protein
AES74563	2261073	2264314	-		MTR_6g008430	cytochrome P450 family protein
AES74567	2282580	2284402	-		MTR_6g008480	matrix metalloproteinase
KEH24931	2287228	2290388	-		MTR_6g008483	hypothetical protein
AES74568	2292847	2293527	-		MTR_6g008490	hypothetical protein
AES74569	2294925	2297669	+		MTR_6g008500	cytochrome P450 family 82 protein
AES74571	2304643	2304955	+		MTR_6g008520	hypothetical protein
AES74572	2305578	2307768	+		MTR_6g008530	cytochrome P450 family protein
AES74575	2325624	2328849	+		MTR_6g008560	sesquiterpene synthase
AES74576	2326630	2328849	+		MTR_6g00_44	MTR_6g00_44
AES74578	2337184	2337544	+		MTR_6g008590	hypothetical protein
AES74579	2337902	2340449	+		MTR_6g008600	cytochrome P450 family protein
AES74581	2348948	2351902	+		MTR_6g008620	cytochrome P450 family 82 protein
AES74582	2355599	2358218	+		MTR_6g008630	cytochrome P450 family 82 protein
AES74583	2361288	2363533	+		MTR_6g008640	cytochrome P450 family 82 protein
AES74584	2365892	2369279	+		MTR_6g008650	cytochrome P450 family protein
AES74585	2373705	2374713	-		MTR_6g008660	DUF1639 family protein
AES74586	2377604	2377835	-		MTR_6g008670	hypothetical protein
KEH25828	12210473	12213033	+		MTR_6g034920	extensin-like region protein
KEH25829	12218793	12219357	+		MTR_6g034930	hypothetical protein
KEH25830	12224570	12225743	-		MTR_6g034935	F-box protein
KEH25831	12228074	12232530	-		MTR_6g034940	cytochrome P450 family protein
KEH25832	12234046	12238970	-		MTR_6g034945	bZIP transcription factor
KEH25833	12243347	12253385	-		MTR_6g034955	squalene monooxygenase
KEH25834	12258465	12259673	+		MTR_6g034960	transmembrane protein, putative
KEH25835	12265824	12268663	+		MTR_6g034965	cytochrome P450 family 71 protein
KEH25836	12275388	12276113	+		MTR_6g034970	transmembrane protein, putative
KEH25837	12281451	12282084	+		MTR_6g034975	vacuolar iron transporter-like protein
KEH25838	12289760	12308916	-		MTR_6g034985	beta-amyrin synthase
KEH25839	12309972	12310735	-		MTR_6g034995	hypothetical protein
KEH25840	12319005	12344651	-		MTR_6g035010	beta-amyrin synthase
KEH25841	12393772	12394722	-		MTR_6g035050	hypothetical protein
KEH25842	12399938	12411656	+		MTR_6g035065	squalene epoxidase
KEH25843	12425021	12426995	-		MTR_6g035100	cytochrome P450 family 71 protein
KEH25844	12438101	12439853	-		MTR_6g035115	cytochrome P450 family 71 protein
KEH25845	12446574	12448236	+		MTR_6g035135	transmembrane protein, putative
KEH25846	12455046	12455641	-		MTR_6g035145	transmembrane protein, putative
KEH25847	12458813	12459200	+		MTR_6g035155	2-oxoglutarate-dependent dioxygenase
KEH25848	12460924	12462744	+		MTR_6g035160	2OG-Fe(II) oxygenase family oxidoreductase
KEH25849	12467953	12469812	-		MTR_6g035170	Ulp1 protease family, carboxy-terminal domain protein
KEH25850	12475879	12476700	+		MTR_6g035180	aldo-keto reductase, putative
KEH25851	12482462	12483944	+		MTR_6g035185	UDP-glucosyltransferase family protein
KEH25852	12589194	12590649	+		MTR_6g035265	UDP-glucosyltransferase family protein
KEH25853	12593344	12593598	-		MTR_6g035275	hypothetical protein
KEH25854	12609034	12609351	+		MTR_6g035290	hypothetical protein
KEH25855	12611156	12614092	+		MTR_6g035295	UDP-glucosyltransferase family protein
KEH25856	12627216	12633541	+		MTR_6g035305	fructose-1,6-bisphosphatase, cytosolic-like protein
KEH25857	12635360	12635830	+		MTR_6g035310	hypothetical protein
KEH25858	12637325	12639010	+		MTR_6g035315	transcription factor
KEH25859	12653305	12654191	-		MTR_6g035325	transmembrane protein, putative
KEH25860	12677935	12678494	+		MTR_6g035365	hypothetical protein
KEH25861	12680773	12683709	+		MTR_6g035370	myb/SANT-like DNA-binding domain protein
KEH25862	12695916	12696829	-		MTR_6g035385	hypothetical protein
KEH25863	12700652	12701635	-		MTR_6g035395	enoyl-(acyl carrier) reductase
KEH25864	12704505	12705953	-		MTR_6g035400	OTU-like cysteine protease
AES75634	18281817	18289222	-		MTR_6g052360	PPR superfamily protein, putative
AES75635	18282840	18289222	-		MTR_6g05_2	MTR_6g05_2
KEH26304	18299395	18300544	-		MTR_6g052375	UDP-glycosyltransferase superfamily protein, putative
AES75640	18306140	18306317	-		MTR_6g052420	UDP-glucose:isoflavone 7-O-glucosyltransferase, putative
KEH26305	18317028	18317661	+		MTR_6g452410	hypothetical protein
KEH26306	18323328	18323621	+		MTR_6g452420	transmembrane protein, putative
KEH26307	18343149	18344360	-		MTR_6g452450	PIF1-like helicase
KEH26308	18346568	18351632	+		MTR_6g452470	hypothetical protein
KEH26309	18352042	18352342	+		MTR_6g452480	hypothetical protein
KEH26310	18355117	18358126	+		MTR_6g452490	NBS-LRR type disease resistance protein
KEH26311	18359895	18364181	+		MTR_6g452500	lipoxygenase
KEH26312	18365031	18366706	-		MTR_6g452510	protein transporter SEC23-like protein
KEH26313	18370295	18371970	-		MTR_6g452520	protein transporter SEC23-like protein
