signature gene	pHMM hits	e-value	bit score	number of seeds
AES65070	UDPGT_2	3.5e-76	256.2	248
AES65072	UDPGT_2	5.5e-75	252.3	248
AES65073	UDPGT_2	8.7e-69	231.9	248
AES65080	Bet_v_1	3.5e-28	97.6	18
KEH37164	Bet_v_1	1.4e-27	95.7	18
AES65082	Bet_v_1	6.3e-28	96.8	18
AES65083	Bet_v_1	1.4e-26	92.4	18
AES65085	Bet_v_1	1.1e-30	105.8	18
AES65087	Bet_v_1	3.7e-20	71.6	18
AES65088	Bet_v_1	3.2e-26	91.2	18
AES65089	Bet_v_1	1.1e-24	86.2	18
AES65090	Bet_v_1	2.5e-24	85.1	18
AES65100	Bet_v_1	6.3e-26	90.3	18
KEH37168	Bet_v_1	7.1e-24	83.6	18
KEH38237	Terpene_synth_C	3.8e-100	333.8	?
KEH38237	Terpene_synth	1.1e-29	102.7	?
KEH38236	Terpene_synth_C	4.1e-100	333.8	?
KEH38236	Terpene_synth	2.9e-47	160.0	?
KEH38242	Transferase	4e-105	351.1	7
AES66281	p450	2.1e-109	365.5	50
AES66287	Terpene_synth_C	7.6e-96	319.7	?
AES66287	Terpene_synth	4.7e-46	156.1	?
AES66409	DIOX_N	3.1e-18	65.8	384
AES66409	2OG-FeII_Oxy	4.3e-25	87.3	136
AES66410	DIOX_N	7.6e-18	64.6	384
AES66410	2OG-FeII_Oxy	6.2e-26	90.0	136
AES66413	DIOX_N	8e-17	61.3	384
AES66413	2OG-FeII_Oxy	2e-26	91.6	136
AES66414	DIOX_N	1.5e-16	60.4	384
AES66414	2OG-FeII_Oxy	1.6e-26	91.9	136
AES66418	DIOX_N	1.9e-16	60.1	384
AES66418	2OG-FeII_Oxy	1.5e-24	85.6	136
AES66419	DIOX_N	2.1e-15	56.7	384
AES66420	DIOX_N	1.1e-20	73.8	384
AES66420	2OG-FeII_Oxy	1.3e-26	92.2	136
AES66422	DIOX_N	1.3e-06	28.4	384
AES66425	DIOX_N	2e-19	69.7	384
AES66425	2OG-FeII_Oxy	6.3e-27	93.2	136
AES66427	DIOX_N	1.6e-19	70.0	384
AES66427	2OG-FeII_Oxy	9.2e-29	99.1	136
AES66436	DIOX_N	1.2e-22	80.0	384
AES66436	2OG-FeII_Oxy	2.6e-25	88.0	136
AES66439	Glycos_transf_1	2e-08	33.2	?
KEH38469	p450	2.5e-87	292.8	50
KEH38470	p450	3.3e-85	285.7	50
KEH38471	p450	1.9e-86	289.8	50
KEH38472	p450	2.2e-71	240.1	50
KEH38473	p450	3.2e-24	84.7	50
KEH38475	p450	8.7e-86	287.6	50
KEH38476	p450	3e-72	243.0	50
KEH38478	p450	7.4e-88	294.5	50
KEH38480	p450	5.9e-37	126.7	50
KEH38482	polyprenyl_synt	8e-73	243.8	505
KEH38484	Chalcone	3.1e-26	91.2	8
AES66784	BURP	1.1e-37	128.9	101
AES66786	BURP	3.6e-41	140.3	101
AES66791	BURP	6.3e-40	136.2	101
