signature gene	pHMM hits	e-value	bit score	number of seeds
AES74563	p450	1.5e-89	300.1	50
AES74569	p450	5.4e-96	321.3	50
AES74572	p450	2e-92	309.5	50
AES74575	Terpene_synth_C	3.8e-100	333.8	?
AES74575	Terpene_synth	2.5e-57	192.8	?
AES74579	p450	3.2e-89	299.0	50
AES74581	p450	2.5e-88	296.0	50
AES74582	p450	1.8e-58	197.6	50
AES74583	p450	4e-98	328.3	50
AES74584	p450	9.6e-95	317.2	50
KEH25831	p450	6.1e-79	265.1	50
KEH25833	SE	1.4e-109	364.6	12
KEH25835	p450	7.3e-95	317.6	50
KEH25838	SQHop_cyclase_C	4.5e-58	196.0	17
KEH25838	SQHop_cyclase_N	3.3e-38	130.6	135
KEH25840	SQHop_cyclase_C	2.6e-53	180.4	17
KEH25840	SQHop_cyclase_N	3.2e-38	130.7	135
KEH25842	SE	3.7e-108	359.9	12
KEH25843	p450	1.1e-99	333.4	50
KEH25844	p450	1.2e-102	343.2	50
KEH25847	DIOX_N	1.9e-10	40.7	384
KEH25848	2OG-FeII_Oxy	1.1e-16	60.4	136
KEH25851	UDPGT_2	9.1e-74	248.3	248
KEH25852	UDPGT_2	3.3e-72	243.1	248
KEH25855	UDPGT_2	1.4e-70	237.7	248
KEH25863	adh_short_C2	1.1e-49	168.3	368
KEH26304	UDPGT_2	1.4e-22	79.6	248
KEH26311	Lipoxygenase	5.6e-208	691.8	117
KEH26312	Peptidase_S10	1.9e-10	39.9	57
KEH26313	Peptidase_S10	1.9e-10	39.9	57
AES76755	BURP	3.3e-59	199.2	101
AES77088	Glycos_transf_1	3e-09	35.9	?
AES77089	Methyltransf_3	2.8e-79	264.4	5
AES77097	Aminotran_1_2	1.9e-98	329.1	48
AES77098	Methyltransf_11	5.5e-07	29.3	141
