signature gene	pHMM hits	e-value	bit score	number of seeds
AES58715	BURP	2.2e-85	284.8	101
AES58797	BURP	6.3e-17	61.1	101
AES58799	BURP	8.4e-79	263.3	101
AES58800	BURP	4.1e-80	267.6	101
AES58801	BURP	2.1e-84	281.6	101
AES58802	BURP	2e-87	291.4	101
AES58803	BURP	1.5e-83	278.8	101
AES58805	BURP	7.7e-84	279.7	101
AES58807	BURP	1.7e-85	285.2	101
AES58809	BURP	4.1e-69	231.6	101
AES58810	BURP	1.4e-85	285.5	101
KEH40818	p450	4.8e-56	189.6	50
KEH40819	p450	8.8e-56	188.7	50
KEH40821	p450	3.7e-58	196.6	50
KEH40822	p450	3.1e-54	183.6	50
KEH40823	p450	1.5e-60	204.5	50
KEH40826	p450	6.5e-47	159.5	50
KEH40827	Transferase	1.2e-34	118.9	7
KEH40828	p450	2e-58	197.5	50
KEH40830	p450	9.6e-53	178.7	50
KEH40835	p450	1.3e-58	198.1	50
KEH40836	p450	5.1e-07	28.0	50
KEH40839	p450	7.1e-60	202.2	50
KEH40842	p450	7e-58	195.6	50
KEH40975	UDPGT_2	7.8e-62	208.9	248
KEH40976	Transferase	1.4e-58	197.7	7
KEH40977	Transferase	2.6e-49	167.2	7
KEH40983	Peptidase_S10	4.2e-79	266.1	57
AES60451	BURP	1.5e-42	144.8	101
KEH41218	Transferase	6.9e-05	20.8	7
KEH41219	Transferase	4.3e-13	47.9	7
KEH41221	Dirigent	1.5e-29	102.0	297
AES62614	DIOX_N	4.4e-25	87.9	384
AES62614	2OG-FeII_Oxy	9.5e-29	99.1	136
AES62618	Peptidase_S10	2.8e-42	144.8	57
AES62621	COesterase	4.6e-09	34.9	?
AES62622	COesterase	1.4e-07	30.0	?
AES62626	p450	5e-36	123.6	50
AES62627	p450	9.9e-70	234.7	50
AES62675	AMP-binding	1e-107	359.5	145
AES62684	Glycos_transf_1	5.9e-38	129.3	?
AES62689	COesterase	7.6e-08	30.9	?
KEH43899	COesterase	1.6e-07	29.8	?
AES62697	COesterase	3.4e-07	28.7	?
KEH44070	Acetyltransf_1	4.3e-06	26.1	222
KEH44073	UDPGT_2	5.8e-76	255.5	248
KEH44074	p450	1.4e-96	323.3	50
KEH44075	p450	7.2e-58	195.6	50
KEH44076	p450	8e-31	106.4	50
KEH44078	UDPGT_2	7.4e-86	288.1	248
KEH44080	UDPGT_2	4.4e-37	127.4	248
KEH44083	UDPGT_2	4.3e-13	48.3	248
KEH44084	UDPGT_2	8.7e-87	291.2	248
KEH44086	UDPGT_2	2.2e-77	260.2	248
KEH44087	UDPGT_2	1.3e-82	277.4	248
KEH44089	UDPGT_2	1.9e-82	276.9	248
KEH44090	UDPGT_2	4.2e-87	292.2	248
KEH44242	Prenyltrans	4.5e-16	57.5	?
KEH44247	p450	4.9e-106	354.4	50
KEH44251	COesterase	3.4e-07	28.7	?
