signature gene	pHMM hits	e-value	bit score	number of seeds
AET01191	UDPGT_2	1.5e-70	237.7	248
AET01192	UDPGT_2	1.5e-30	105.8	248
AET01194	UDPGT_2	6.9e-75	252.0	248
AET01195	UDPGT_2	1.7e-70	237.5	248
AET01208	p450	1.3e-63	214.5	50
KEH17798	p450	3.1e-53	180.3	50
KEH17940	Terpene_synth_C	8.2e-90	300.0	?
KEH17940	Terpene_synth	1.1e-53	180.9	?
KEH17941	Peptidase_S10	4e-08	32.2	57
KEH17945	UDPGT_2	7.1e-50	169.5	248
KEH17949	UDPGT_2	1.7e-82	277.1	248
AET01251	DIOX_N	1.6e-19	70.0	384
AET01251	2OG-FeII_Oxy	2.6e-26	91.2	136
AET01253	UDPGT_2	1e-74	251.4	248
AET01255	UDPGT_2	1.6e-77	260.7	248
AET01260	UDPGT_2	1.6e-77	260.6	248
KEH17968	UDPGT_2	6.5e-80	268.5	248
KEH17969	UDPGT_2	4.4e-78	262.5	248
KEH17970	UDPGT_2	6.8e-77	258.6	248
KEH17972	UDPGT_2	1e-77	261.3	248
AET01263	DIOX_N	5.9e-19	68.2	384
AET01263	2OG-FeII_Oxy	1.4e-26	92.1	136
AET01264	DIOX_N	5.1e-19	68.4	384
AET01264	2OG-FeII_Oxy	1.7e-27	95.0	136
AET01266	DIOX_N	4.9e-21	74.9	384
AET01266	2OG-FeII_Oxy	8.5e-28	96.0	136
AET01267	DIOX_N	2.1e-17	63.1	384
AET01267	2OG-FeII_Oxy	2.5e-22	78.5	136
AET01270	DIOX_N	2.1e-17	63.1	384
AET01270	2OG-FeII_Oxy	1.8e-13	50.0	136
AET01271	DIOX_N	6.9e-20	71.2	384
AET01271	2OG-FeII_Oxy	2.3e-26	91.4	136
AET01272	DIOX_N	2.5e-18	66.1	384
AET01272	2OG-FeII_Oxy	6.9e-27	93.1	136
AET01273	2OG-FeII_Oxy	9.5e-24	83.0	136
KEH18124	p450	3.8e-85	285.5	50
KEH18125	p450	1.2e-96	323.4	50
KEH18132	UDPGT_2	1.8e-62	211.0	248
KEH18133	UDPGT_2	1.6e-76	257.3	248
KEH18134	UDPGT_2	2e-77	260.3	248
AET02614	UDPGT_2	1.6e-59	201.1	248
AET02616	NAD_binding_1	1.4e-32	111.5	?
KEH19223	adh_short	1.4e-44	150.8	?
KEH19225	BURP	2.9e-34	117.5	101
KEH19228	BURP	1.1e-45	154.9	101
KEH19231	BURP	5.4e-48	162.3	101
KEH19223	adh_short	1.4e-44	150.8	?
KEH19225	BURP	2.9e-34	117.5	101
KEH19228	BURP	1.1e-45	154.9	101
KEH19231	BURP	5.4e-48	162.3	101
AET02691	BURP	1.3e-44	151.3	101
AET02692	BURP	1.5e-46	157.6	101
AET02700	BURP	4.8e-43	146.2	101
KEH20005	BURP	3.3e-64	215.3	101
KEH20006	BURP	5.2e-64	214.7	101
KEH20007	BURP	1.4e-64	216.6	101
AET03601	Terpene_synth	2.2e-14	52.5	?
AET03602	Prenyltransf	1.5e-76	255.8	1408
AET03618	Dirigent	4.1e-26	90.6	297
AET03633	p450	2.4e-78	262.9	50
AET03634	p450	5.9e-77	258.3	50
AET03642	AMP-binding	8.9e-86	287.0	145
AET03643	DIOX_N	1.4e-27	95.8	384
AET03643	2OG-FeII_Oxy	2e-26	91.3	136
AET03646	DIOX_N	3.2e-27	94.6	384
AET03646	2OG-FeII_Oxy	1.7e-24	85.2	136
AET03645	DIOX_N	3.5e-27	94.4	384
AET03645	2OG-FeII_Oxy	1.8e-24	85.0	136
AET03651	AMP-binding	2.6e-72	242.7	145
AET03655	Str_synth	2.8e-31	106.4	6
AET03659	Str_synth	9.2e-30	101.6	6
AET03662	Str_synth	1.3e-32	110.7	6
AET03666	Str_synth	2.5e-23	80.9	6
AET03773	p450	2.4e-19	68.3	50
AET03780	Transferase	5.6e-106	353.7	7
AET03787	Transferase	1.4e-11	42.6	7
AET03796	DIOX_N	2.8e-20	72.2	384
AET03796	2OG-FeII_Oxy	4.8e-23	80.5	136
AET03799	DIOX_N	3e-21	75.3	384
AET03799	2OG-FeII_Oxy	5.3e-24	83.6	136
AET03803	BURP	9.5e-29	99.4	101
