signature gene	pHMM hits	e-value	bit score	number of seeds
AES93780	Acetyltransf_1	7.6e-12	44.5	222
AES93785	p450	2.7e-106	355.3	50
AES93786	p450	1.8e-105	352.6	50
AES93793	p450	6.8e-105	350.6	50
AES93801	AMP-binding	4.4e-108	360.7	145
KEH27375	Chal_sti_synt_C	3e-69	231.0	?
KEH27375	Chal_sti_synt_N	4e-121	401.7	?
KEH27376	Chal_sti_synt_C	4e-69	230.6	?
KEH27376	Chal_sti_synt_N	3.7e-121	401.8	?
KEH27377	Chal_sti_synt_C	1e-65	219.5	?
KEH27377	Chal_sti_synt_N	4e-54	182.6	?
AES93810	Chal_sti_synt_C	1.3e-69	232.2	?
AES93810	Chal_sti_synt_N	4.1e-121	401.7	?
AES93811	Chal_sti_synt_C	1.6e-62	209.2	?
AES93811	Chal_sti_synt_N	1.3e-82	275.8	?
AES93813	Chal_sti_synt_C	3.1e-70	234.2	?
AES93813	Chal_sti_synt_N	7.8e-121	400.8	?
AES93814	Chal_sti_synt_C	1.8e-13	49.9	?
AES93814	Chal_sti_synt_N	3.7e-76	254.6	?
AES93904	AMP-binding	9.5e-82	274.0	145
AES93905	SQHop_cyclase_C	2.5e-48	164.0	17
AES93905	SQHop_cyclase_N	4.6e-43	146.6	135
AES93906	AMP-binding	4.2e-85	285.0	145
AES93909	adh_short	2e-30	104.9	?
AES95594	UDPGT_2	3.5e-49	167.2	248
AES95596	DIOX_N	6e-12	45.6	384
AES95596	2OG-FeII_Oxy	9.5e-17	60.5	136
AES95597	Epimerase	4.1e-08	32.2	96
AES95600	Epimerase	1.6e-08	33.5	96
AES96107	BURP	2.7e-50	170.1	101
AES96108	BURP	2.9e-52	176.6	101
AES96109	BURP	4.8e-48	162.8	101
AES96110	BURP	4.9e-33	113.7	101
AES96115	BURP	4.1e-22	78.0	101
AES96116	BURP	6.5e-22	77.3	101
AES96117	BURP	6.1e-25	87.2	101
AES96118	BURP	7.1e-24	83.8	101
AES96119	BURP	3.3e-20	71.8	101
AES96192	BURP	1.8e-63	213.2	101
AES96255	Bet_v_1	1.1e-31	109.0	18
AES96258	Acetyltransf_1	1.5e-10	40.3	222
AES96260	Acetyltransf_1	1.1e-07	31.2	222
AES97592	Chal_sti_synt_C	3.9e-10	39.1	?
AES97598	Epimerase	4.6e-28	97.5	96
AES97607	p450	4.6e-61	206.1	50
AES98764	p450	1.3e-06	26.7	50
AES98766	Epimerase	2.4e-07	29.6	96
AES98769	Peptidase_S10	2.2e-132	441.6	57
AES98774	Epimerase	3e-28	98.1	96
AES98784	UDPGT_2	4.1e-82	275.8	248
AES98785	UDPGT_2	4.2e-77	259.3	248
AES98786	UDPGT_2	1.8e-07	29.8	248
KEH28191	UDPGT_2	4.8e-05	21.8	248
AES98787	UDPGT_2	2.1e-77	260.2	248
AES98788	UDPGT_2	5.6e-77	258.9	248
AES98789	UDPGT_2	9.4e-42	142.8	248
AES98790	UDPGT_2	2.6e-85	286.3	248
AES98795	p450	5e-105	351.1	50
AES98800	p450	5e-105	351.1	50
AES98804	p450	2.1e-103	345.7	50
AES99105	SQS_PSY	7.6e-75	251.0	96
AES99112	Transferase	7.4e-83	277.8	7
AES99124	Glycos_transf_1	1.6e-31	108.3	?
AET00304	UDPGT_2	1.1e-71	241.4	248
AET00306	UDPGT_2	1.5e-68	231.1	248
AET00307	UDPGT_2	7.1e-64	215.7	248
AET00308	UDPGT_2	4.4e-70	236.1	248
AET00309	UDPGT_2	1.1e-69	234.8	248
AET00311	UDPGT_2	3.5e-26	91.5	248
AET00312	UDPGT_2	1.5e-76	257.4	248
AET00313	UDPGT_2	7.6e-74	248.5	248
AET00315	UDPGT_2	2.7e-35	121.5	248
AET00316	UDPGT_2	1.8e-72	244.0	248
AET00322	SQS_PSY	1.5e-72	243.4	96
AET00325	Transferase	3.2e-103	344.9	7
AET00327	Transferase	1e-104	349.8	7
AET00332	Transferase	6.6e-97	324.1	7
AET00657	p450	2.1e-46	157.8	50
AET00658	p450	4e-35	120.6	50
AET00659	p450	3.8e-49	166.9	50
AET00660	p450	9.4e-99	330.4	50
AET00661	Terpene_synth_C	7.4e-23	80.4	?
KEH28448	p450	1.1e-17	63.2	50
AET00662	p450	1.5e-101	339.6	50
AET00663	p450	1.3e-99	333.3	50
AET00664	p450	3.6e-101	338.4	50
AET00665	p450	1e-99	333.6	50
AET00670	Terpene_synth_C	7.8e-97	323.0	?
AET00670	Terpene_synth	7.4e-45	152.2	?
AET00674	p450	3.4e-101	338.4	50
AET00675	p450	1.1e-11	43.4	50
AET01043	Acetyltransf_1	7.6e-18	63.8	222
KEH28491	Cellulose_synt	1.1e-10	39.8	12
AET01053	UDPGT_2	8.3e-77	258.3	248
AET01056	UDPGT_2	6.7e-76	255.3	248
