gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AES58694	264987	268693	-		MTR_1g007300	disease resistance protein (TIR-NBS-LRR class)
AES58695	271775	272313	+		MTR_1g007310	transmembrane protein, putative
AES58696	273511	279382	+		MTR_1g007320	haloacid dehalogenase-like hydrolase
KEH39716	273511	279382	+		MTR_1g00_4	MTR_1g00_4
KEH39717	281811	284285	-		MTR_1g007325	tyrosine-tRNA ligase-like protein
AES58698	284591	290098	-		MTR_1g007340	tyrosine-tRNA ligase-like protein
KEH39718	293599	294624	-		MTR_1g007345	transmembrane protein, putative
AES58699	301889	305149	-		MTR_1g007360	early nodulin 93
AES58700	306644	310565	-		MTR_1g007370	RNA polymerase sigma factor
KEH39719	307321	310565	-		MTR_1g00_5	MTR_1g00_5
AES58701	312173	315669	-		MTR_1g007380	transmembrane amino acid transporter family protein
KEH39720	324334	324631	-		MTR_1g007385	hypothetical protein
AES58702	326267	333748	+		MTR_1g007390	auxin-independent growth promoter-like protein
AES58704	336656	339784	+		MTR_1g007400	hypothetical protein
AES58705	344158	345370	+		MTR_1g007410	F-box protein interaction domain protein
KEH39721	346726	359039	+		MTR_1g007420	serine esterase family protein, putative
AES58706	360956	362032	+		MTR_1g007430	F-box protein interaction domain protein
AES58707	365847	366241	-		MTR_1g007440	alkaline-phosphatase family protein, putative
AES58708	367876	369839	+		MTR_1g007450	F-box protein interaction domain protein
AES58709	376127	381643	-		MTR_1g007460	hypothetical protein
AES58711	390732	393608	+		MTR_1g007480	ribosomal protein L28
AES58712	395689	399232	+		MTR_1g007490	hypothetical protein
AES58714	413020	417854	+		MTR_1g007510	DNA polymerase theta-like protein
AES58715	419483	420997	-		MTR_1g007520	dehydration-responsive protein RD22
AES58716	423964	425003	-		MTR_1g007530	transmembrane protein, putative
AES58717	425660	428859	-		MTR_1g007540	OPT family oligopeptide transporter
AES58720	437875	441496	-		MTR_1g007580	OPT family oligopeptide transporter
AES58723	444816	446635	-		MTR_1g00_6	MTR_1g00_6
AES58721	444816	448332	-		MTR_1g007590	Rab GTPase activator
AES58724	449642	452126	-		MTR_1g007600	pentatricopeptide (PPR) repeat protein
AES58725	453628	455635	+		MTR_1g007610	pentatricopeptide (PPR) repeat protein
AES58726	456108	456372	+		MTR_1g007620	hypothetical protein
KEH39722	461279	469978	-		MTR_1g007630	TLC ATP/ADP transporter
KEH39724	461279	469978	-		MTR_1g00_7	MTR_1g00_7
AES58727	461279	469978	-		MTR_1g00_8	MTR_1g00_8
KEH39725	462301	469978	-		MTR_1g00_9	MTR_1g00_9
KEH39723	462301	469978	-		MTR_1g00_10	MTR_1g00_10
KEH39726	463991	469978	-		MTR_1g00_11	MTR_1g00_11
AES58728	472345	476231	+		MTR_1g007640	appr-1-P processing enzyme family protein
AES58729	477306	479589	+		MTR_1g007650	hypothetical protein
AES58731	488312	491460	+		MTR_1g007670	histone-lysine N-methyltransferase ATXR6-like protein
AES58733	493396	496317	+		MTR_1g007690	histone-lysine N-methyltransferase ATXR5, putative
AES58734	498038	503379	+		MTR_1g007700	histone-lysine N-methyltransferase ATXR6, putative
AES58735	511315	512022	-		MTR_1g007710	transmembrane protein, putative
AES58738	529856	533085	+		MTR_1g007740	transducin/WD40 repeat protein
AES58742	564535	568355	-		MTR_1g007800	enoyl-(acyl carrier) reductase
AES58743	575698	576790	+		MTR_1g007810	glycoside hydrolase family 17 protein
AES58769	722182	723135	-		MTR_1g008090	hypothetical protein
AES58770	732851	737580	+		MTR_1g008120	ubiquitin ligase SINAT3
AES58772	744774	748182	-		MTR_1g008140	pectinesterase/pectinesterase inhibitor
KEH39734	765177	767640	+		MTR_1g00_17	MTR_1g00_17
KEH39732	765177	768102	+		MTR_1g00_16	MTR_1g00_16
AES58773	765177	768648	+		MTR_1g008160	O-acyltransferase (WSD1-like) family protein
KEH39733	765177	768648	+		MTR_1g00_15	MTR_1g00_15
KEH39735	765700	768102	+		MTR_1g00_19	MTR_1g00_19
KEH39731	765700	768648	+		MTR_1g00_18	MTR_1g00_18
AES58774	769861	772343	-		MTR_1g008170	nuclear movement family protein
AES58775	774818	775479	-		MTR_1g008180	transmembrane protein, putative
KEH39736	779214	781348	+		MTR_1g008195	nuclear movement family protein
AES58776	783438	786158	+		MTR_1g008200	nuclear movement family protein
KEH39737	804667	807903	+		MTR_1g00_20	MTR_1g00_20
AES58778	804667	808679	+		MTR_1g008220	CCT motif protein
AES58779	814007	823855	+		MTR_1g008230	histone-lysine N-methyltransferase ATX3
KEH39738	815091	823855	+		MTR_1g00_21	MTR_1g00_21
AES58780	825316	829126	+		MTR_1g008240	NB-ARC domain disease resistance protein
AES58781	830310	830751	+		MTR_1g008250	histone-lysine N-methyltransferase ATX3
AES58785	836721	842025	-		MTR_1g008280	signal peptide peptidase-like protein
AES58784	836721	842025	-		MTR_1g00_22	MTR_1g00_22
KEH39739	837982	842025	-		MTR_1g00_23	MTR_1g00_23
AES58786	845507	845951	-		MTR_1g008290	FAR-RED impaired response-like protein
AES58787	846508	849277	+		MTR_1g008300	rhomboid protease YdcA-like protein, putative
AES58788	850911	854346	-		MTR_1g008310	PPR containing plant-like protein
AES58790	858337	858643	-		MTR_1g008330	transmembrane protein, putative
AES58791	859988	860195	+		MTR_1g008340	hypothetical protein
AES58792	861362	865287	+		MTR_1g008350	peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
AES58793	866819	868980	-		MTR_1g008360	PPR containing plant-like protein
AES58794	869611	879007	+		MTR_1g008370	diphthamide biosynthesis protein
AES58795	884359	889090	-		MTR_1g008380	indole-3-pyruvate monooxygenase
AES58796	895750	896275	-		MTR_1g008400	hypothetical protein
AES58797	900362	902018	+		MTR_1g008420	BURP domain protein
AES58799	908725	910118	+		MTR_1g008450	dehydration-responsive protein RD22
AES58800	915267	916600	+		MTR_1g008460	dehydration-responsive protein RD22
AES58801	923317	924651	+		MTR_1g008470	dehydration-responsive protein RD22
AES58802	934555	936874	+		MTR_1g008500	dehydration-responsive protein RD22
AES58803	940983	942794	+		MTR_1g008510	dehydration-responsive protein RD22
AES58805	948977	949783	+		MTR_1g008530	dehydration-responsive RD22-like protein
AES58807	959393	960755	+		MTR_1g008560	dehydration-responsive protein RD22
KEH39740	963307	963526	+		MTR_1g008575	transmembrane protein, putative
AES58809	971545	972064	+		MTR_1g008580	dehydration-responsive RD22-like protein
AES58810	974025	975677	+		MTR_1g008590	dehydration-responsive protein RD22
AES58811	976524	>991546	-		MTR_1g008600	ATP-binding protein
AES58812	994052	996053	+		MTR_1g008610	bromo-adjacent-like (BAH) domain protein
AES58813	997899	998436	-		MTR_1g008620	transmembrane protein, putative
AES58814	1000082	1000416	-		MTR_1g008630	hypothetical protein
AES58815	1004452	1005294	-		MTR_1g008640	SPFH domain/band 7 family protein
KEH39741	1017765	1019766	+		MTR_1g008670	bromo-adjacent-like (BAH) domain protein
AES58819	1017909	1019899	+		MTR_1g00_25	MTR_1g00_25
AES58818	1017909	1021179	+		MTR_1g00_24	MTR_1g00_24
KEH39742	1021778	1022339	-		MTR_1g008675	transmembrane protein, putative
AES58822	1027279	1030176	+		MTR_1g008700	2-on-2 hemoglobin
AES58823	1033568	1034013	+		MTR_1g008710	calcium-dependent lipid-binding-like protein
AES58825	1057980	1061040	+		MTR_1g008740	NAC transcription factor-like protein
KEH39743	1058208	1061040	+		MTR_1g00_26	MTR_1g00_26
KEH39744	1068758	1069037	+		MTR_1g008765	hypothetical protein
KEH39745	1077997	1079424	-		MTR_1g008885	hypothetical protein
AES58837	1086597	1087384	+		MTR_1g008900	hypothetical protein
AES58838	1088214	1088744	+		MTR_1g008910	OST-HTH associated domain protein
AES58840	1091885	1092401	+		MTR_1g008930	hypothetical protein
AES58842	1104499	1106905	+		MTR_1g008950	elicitor-responsive-like protein
AES58844	1112270	1115341	+		MTR_1g008970	myb transcription factor
AES58845	1119783	1128698	+		MTR_1g008980	ABC1 family protein
AES58846	1129969	1135062	-		MTR_1g008990	BZIP transcription factor
AES58848	1130459	1135062	-		MTR_1g00_27	MTR_1g00_27
AES58849	1137933	1138751	+		MTR_1g009000	hypothetical protein
AES58850	1142237	1143503	-		MTR_1g009010	26S proteasome non-ATPase regulatory subunit-like protein
AES58852	1149418	1151070	-		MTR_1g009030	plant/F12B17-70 protein
KEH40817	13051653	13053036	-		MTR_1g035730	xyloglucan galactosyltransferase KATAMARI-like protein
KEH40818	13064072	13065596	+		MTR_1g035750	cytochrome P450 family protein
KEH40819	13069044	13070559	+		MTR_1g035760	cytochrome P450 family protein
KEH40820	13072013	13072688	-		MTR_1g035770	Kunitz type trypsin inhibitor / Alpha-fucosidase
KEH40821	13079733	13081248	+		MTR_1g035790	cytochrome P450 family protein
KEH40822	13085921	13087460	-		MTR_1g035800	cytochrome P450 family protein
KEH40823	13094207	13095737	-		MTR_1g035830	cytochrome P450 family protein
KEH40824	13096209	13096627	+		MTR_1g035840	transmembrane protein, putative
KEH40825	13098530	13099068	+		MTR_1g035850	hypothetical protein
KEH40826	13100426	13102607	-		MTR_1g035860	cytochrome P450 family protein
KEH40827	13114148	13116604	+		MTR_1g035890	transferase family protein
KEH40828	13129636	13131166	-		MTR_1g035940	cytochrome P450 family protein
KEH40829	13150473	13151525	-		MTR_1g035970	hypothetical protein
KEH40830	13161329	13162859	-		MTR_1g036010	cytochrome P450 family protein
KEH40831	13166577	13167645	-		MTR_1g036020	hypothetical protein
KEH40832	13177661	13178122	+		MTR_1g036040	hypothetical protein
KEH40833	13194416	13200317	-		MTR_1g036110	diacylglycerol acyltransferase type 2
KEH40834	13202307	13202991	+		MTR_1g036120	hypothetical protein
KEH40835	13204267	13205794	-		MTR_1g036130	cytochrome P450 family protein
KEH40836	13214083	13214811	-		MTR_1g036140	cytochrome P450 family protein
KEH40837	13227655	13228846	+		MTR_1g036160	hypothetical protein
KEH40838	13235441	13236628	+		MTR_1g036180	hypothetical protein
KEH40839	13243398	13244904	+		MTR_1g036200	cytochrome P450 family protein
KEH40840	13247643	13248117	+		MTR_1g036210	TNP2, putative
KEH40841	13269631	13270512	+		MTR_1g036260	hypothetical protein
KEH40842	13271397	13272939	-		MTR_1g036270	cytochrome P450 family protein
KEH40844	13274929	13280217	-		MTR_1g036280	peroxisomal membrane carrier protein
KEH40843	13277310	13280217	-		MTR_1g03_33	MTR_1g03_33
KEH40975	14868891	14870403	+		MTR_1g040310	UDP-glucosyltransferase family protein
KEH40976	14873077	14875120	-		MTR_1g040315	benzyl alcohol O-benzoyltransferase
KEH40977	14877808	14880406	-		MTR_1g040320	benzyl alcohol O-benzoyltransferase
KEH40978	14882034	14882625	+		MTR_1g040325	hypothetical protein
KEH40979	14883770	14884352	-		MTR_1g040330	Lipid transfer protein
KEH40980	14889421	14890003	-		MTR_1g040335	Lipid transfer protein
KEH40981	14915106	14923995	+		MTR_1g040355	DNA topoisomerase type I
KEH40982	14928062	14931626	+		MTR_1g040360	sieve element occlusion protein
