gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
AES65067	13428259	13431340	-		MTR_2g034960	B-type response regulator
AES65068	13433800	13434324	-		MTR_2g034970	hypothetical protein
AES65070	13439901	13441377	-		MTR_2g034990	UDP-glucosyltransferase family protein
AES65072	13448046	13449540	-		MTR_2g035020	UDP-glucosyltransferase family protein
AES65073	13454535	13455977	-		MTR_2g035040	UDP-glucosyltransferase family protein
AES65074	13462150	13462561	-		MTR_2g035050	UDP-glucosyltransferase family protein, putative
AES65076	13467797	13470420	+		MTR_2g035070	drought-induced protein
AES65077	13471954	13476546	-		MTR_2g035080	DUF789 family protein
AES65080	13484059	13485856	+		MTR_2g035100	disease-resistance response protein
KEH37164	13489784	13492295	+		MTR_2g035105	disease-resistance response protein
AES65081	13496504	13496912	-		MTR_2g035110	hypothetical protein
AES65082	13500766	13501575	+		MTR_2g035120	disease-resistance response protein
AES65083	13508484	13509617	+		MTR_2g035130	disease-resistance response protein
AES65084	13510459	13512988	+		MTR_2g035140	hypothetical protein
AES65085	13514736	13515378	+		MTR_2g035150	disease-resistance response protein
AES65086	13517739	13517907	+		MTR_2g035160	hypothetical protein
AES65087	13519883	13520803	+		MTR_2g035170	disease-resistance response protein
AES65088	13529813	13531013	+		MTR_2g035190	ABA-responsive protein
AES65089	13536372	13537876	+		MTR_2g035210	ABA-responsive protein
AES65090	13541235	13541917	+		MTR_2g035220	ABA-responsive protein
AES65101	13545595	13545778	+		MTR_2g035340	transmembrane protein, putative
AES65100	13553700	13554735	+		MTR_2g035320	ABA-responsive protein
KEH37165	13554366	13554735	+		MTR_2g03_38	MTR_2g03_38
AES65099	13556434	13558621	-		MTR_2g035310	melanoma-associated antigen G1-like protein
AES65097	13563882	13564146	+		MTR_2g035290	RALF-like protein
AES65093	13571160	13571415	+		MTR_2g035250	transmembrane protein, putative
AES65092	13574723	13574978	+		MTR_2g035240	transmembrane protein, putative
AES65091	13576094	13576505	+		MTR_2g035230	core histone H2A/H2B/H3/H4
KEH37166	13582843	13583113	+		MTR_2g435250	cytochrome C oxidase biogenesis Cmc1-like protein
KEH37167	13594633	13595766	-		MTR_2g435290	PIF1-like helicase
KEH37168	13600897	13601774	+		MTR_2g435310	pathogenesis-related protein bet V I family protein
KEH37169	13603965	13604233	+		MTR_2g435320	Nodule Cysteine-Rich (NCR) secreted peptide
KEH37171	13607133	13609463	-		MTR_2g43_1	MTR_2g43_1
KEH37170	13607133	13610392	-		MTR_2g435340	polygalacturonase/glycoside hydrolase family protein
KEH38234	27307618	27309889	-		MTR_2g06_20	MTR_2g06_20
KEH38233	27307618	27311975	-		MTR_2g064405	cation diffusion facilitator family transporter
KEH38235	27316659	27324076	+		MTR_2g064415	defective in cullin neddylation protein, putative
KEH38237	27325547	27329882	-		MTR_2g064425	monoterpene synthase
KEH38236	27325547	27329882	-		MTR_2g06_21	MTR_2g06_21
KEH38238	27326190	27329882	-		MTR_2g06_22	MTR_2g06_22
KEH38239	27326190	27329882	-		MTR_2g06_23	MTR_2g06_23
KEH38240	27335646	27336706	+		MTR_2g064455	hypothetical protein
KEH38241	27348421	27349665	+		MTR_2g064475	papain family cysteine protease
KEH38242	27356329	27359191	-		MTR_2g064495	shikimate/quinate hydroxycinnamoyltransferase
KEH38243	27389889	27391089	+		MTR_2g065338	hypothetical protein
AES66281	27411722	27413705	+		MTR_2g065360	cytochrome P450 family 71 protein
AES66286	27440925	27442030	-		MTR_2g065440	hypothetical protein
AES66287	27443341	27447459	-		MTR_2g065450	monoterpene synthase
AES66290	27454542	27458718	-		MTR_2g06_24	MTR_2g06_24
AES66289	27454542	27460458	-		MTR_2g065470	glyceraldehyde-3-phosphate dehydrogenase
AES66291	27454849	27460458	-		MTR_2g06_25	MTR_2g06_25
AES66408	28635381	28635990	+		MTR_2g068940	transmembrane protein, putative
AES66409	28638970	28642527	-		MTR_2g068950	2OG-Fe(II) oxygenase family oxidoreductase
AES66410	28647709	28651388	-		MTR_2g068960	2OG-Fe(II) oxygenase family oxidoreductase
KEH38329	28654223	28659306	+		MTR_2g068975	hypothetical protein
KEH38330	28663594	28666834	+		MTR_2g068990	PIF1-like helicase
AES66413	28669799	28671128	-		MTR_2g069010	2OG-Fe(II) oxygenase family oxidoreductase
AES66414	28672597	28675266	-		MTR_2g069020	2OG-Fe(II) oxygenase family oxidoreductase
KEH38331	28672890	28675266	-		MTR_2g06_28	MTR_2g06_28
AES66415	28676146	28678371	-		MTR_2g069030	galactose oxidase/kelch repeat protein
AES66417	28685598	28688885	+		MTR_2g069050	translation elongation factor EF-2 subunit
AES66418	28689907	28691737	-		MTR_2g069060	2OG-Fe(II) oxygenase family oxidoreductase
KEH38332	28690489	28691622	-		MTR_2g06_29	MTR_2g06_29
AES66419	28696000	28696622	-		MTR_2g069070	2-oxoglutarate-dependent dioxygenase
AES66420	28699341	28713828	-		MTR_2g069090	2OG-Fe(II) oxygenase family oxidoreductase
AES66422	28717369	28717774	-		MTR_2g069130	non-heme dioxygenase in morphine synthesis amino-terminal protein
AES66425	28734841	28737102	-		MTR_2g069190	1-aminocyclopropane-1-carboxylate oxidase-like protein
AES66427	28741974	28743716	-		MTR_2g069210	1-aminocyclopropane-1-carboxylate oxidase-like protein
AES66429	28746908	28747298	-		MTR_2g069230	hypothetical protein
KEH38333	28753094	28753536	-		MTR_2g069245	Nodule-specific Glycine Rich Peptide
AES66432	28758106	28758866	+		MTR_2g069260	hypothetical protein
